Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Уютный уголок,,Мебель на заказ; Мягкая мебель,"улица Черенкова, 15",,630010,,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+07:00,,,89137106858,89831374440,,,,,,,,,,,,,,,,,,,55.048011,83.010028,https://2gis.com/firm/70000001115502768,branch
Фабрика Мебели Дик,салон дизайнерских столов и стульев,Мебель на заказ; Мебель для кухни; Офисная мебель,"Светлановская улица, 50",5 сектор; 0 этаж,630047,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,4.0,87,89137394804,,,,,,,,,,https://wa.me/79137394804,,,,,,,,,,55.081166,82.932468,https://2gis.com/firm/70000001065255463,branch
Фаворит,мебельный магазин,Мебель на заказ; Ремонт мебели; Детская мебель; Корпусная мебель; Мебель для ванных комнат; Мебель для кухни; Офисная мебель; Мягкая мебель; Матрасы,"улица Сибиряков-Гвардейцев, 49/3 к5",1 этаж,630088,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00 (по предварительному звонку),+07:00,5.0,3,89137512021,,,,,,,,,,,,,,,,,,,,54.950793,82.922623,https://2gis.com/firm/70000001067061575,branch
Фарго,,Мебель на заказ; Мебель для кухни; Детская мебель; Корпусная мебель; Мебель для ванных комнат,"Первомайская улица, 19",2 офис; 2 этаж,633010,,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,5.0,1,89513811172,,,,,,,,,,https://wa.me/79513811172,,,,,,,,,,54.761699,83.095012,https://2gis.com/firm/70000001115345966,branch
Фасадные Фантазии,компания по покраске мебели и изготовлению мебельных фасадов,Мебель на заказ; Мебельные фасады,"Часовая улица, 10 к2",,630057,ОбьГЭС м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,5.0,1,89618786937,89039038364,,,,,,,,https://vk.com/id1026480563,https://wa.me/79039038364,,,,,,https://t.me/+79039038364,,,,54.867614,82.972123,https://2gis.com/firm/70000001097442834,branch
Фестина,компания,Мебель на заказ; Мебель для кухни; Корпусная мебель; Офисная мебель; Межкомнатные двери; Детская мебель; Мебель для общественного питания; Торгово-выставочное оборудование,"2-я Ракитная улица, 134/4",1 этаж,630029,Лесоперевалка м-н,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,"Пн: 08:00-12:00, 12:30-17:00; Вт: 08:00-12:00, 12:30-17:00; Ср: 08:00-12:00, 12:30-17:00; Чт: 08:00-12:00, 12:30-17:00; Пт: 08:00-12:00, 12:30-17:00",+07:00,5.0,2,89231219933,,,,,,,,,,https://wa.me/79231219933,,,,,,,,,,55.02688,82.868547,https://2gis.com/firm/70000001036584145,branch
ФМ Фабрика мебели,,Мебель на заказ; Корпусная мебель; Мебель для кухни,"проспект Карла Маркса, 30",511 офис; 5 этаж,630087,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00 (по предварительной записи),+07:00,5.0,27,89231727585,,,,,,,,,https://vk.com/fmfabrikamebeli,https://wa.me/79231727585,,,,,,,,,,54.991802,82.913183,https://2gis.com/firm/70000001080088339,branch
Цехъ,творческая мастерская,Мебель на заказ; Декоративные отделочные материалы; Металлическая мебель; Лаки и краски,"Покатная улица, 122",1 этаж,630008,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00; Вс: 10:00-17:00 (по предварительному звонку: сб-вс),+07:00,5.0,4,89137977223,89231504083,,,,,,,,,https://wa.me/79137977223,https://wa.me/79231504083,,,,,,,,,55.025366,82.950364,https://2gis.com/firm/70000001034223372,branch
Четыре комнаты,салон кухонной мебели,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель; Мебель для ванных комнат; Изделия из камня для помещений,"Светлановская улица, 50",29 сектор; 2 этаж,630047,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,4.4,133,89133812065,,,,,,,,,https://vk.com/medvediza,https://wa.me/79133812065,,,,,,,,,,55.08181,82.934298,https://2gis.com/firm/141265770112376,branch
Шамирам,мебельная фабрика,Мебель на заказ; Корпусная мебель; Мягкая мебель,"Волочаевская улица, 91",цокольный этаж,630010,,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,3.7,22,89139208757,83832400437,89529452767,,,,,,,,https://wa.me/79139208757,,,,,,,,,,55.046423,83.011003,https://2gis.com/firm/70000001023291296,branch
Шкаф и Полка,мастерская изготовления мебели на заказ,Мебель на заказ; Корпусная мебель; Мебель для кухни; Офисная мебель,"Линейная улица, 5/2",1 этаж,633011,,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,5.0,4,89537787562,,,,,,,,,,,,,,,,https://t.me/+79537787562,,,,54.769223,83.087257,https://2gis.com/firm/70000001112053974,branch
Шкафовъ,мебельное ателье,Мебель на заказ; Мебель для кухни; Корпусная мебель; Офисная мебель; Детская мебель,"улица Королёва, 40 к39",,630015,,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,5.0,2,89134572772,,,,,http://t.me/andrey_shkafov,,,,https://vk.com/andrey_shkafov,https://wa.me/79134572772,,,,,,https://t.me/andrey_shkafov,,,,55.058866,82.963123,https://2gis.com/firm/70000001114164175,branch
Шоу диванов,салон мебели от производителя,Мебель на заказ; Мебельные магазины; Мягкая мебель; Матрасы; Корпусная мебель,"Светлановская улица, 50",1 сектор; 0 этаж,630047,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,3.3,23,89130010451,,,,,,,,,,,,,,,,,,,,55.082075,82.934194,https://2gis.com/firm/70000001022349881,branch
Штукалаб,авторская столярная мастерская,Мебель на заказ; Деревообработка; Фрезеровка неметаллов; Интерьерные лестницы; Ремонт мебели,"Молодости, 61а",2 этаж,630056,ОбьГЭС м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+07:00,5.0,7,89234304249,,,,,,,,,,https://wa.me/79234304249,,,,,,https://t.me/stukalab,,,,54.862109,82.955952,https://2gis.com/firm/70000001060678586,branch
Эверест,мебельный центр,Мебель на заказ; Мягкая мебель; Корпусная мебель,"улица Чкалова, 2",2 этаж,633209,,,Искитим,Искитим городской округ,Новосибирская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-17:00; Вс: 10:00-17:00,+07:00,4.3,6,89930110183,,,,,,,,,https://vk.com/everest54,https://wa.me/79930110183,,,,,,,,,,54.640665,83.310491,https://2gis.com/firm/70000001075359755,branch
Эверест,мебельный центр,Мебель на заказ; Мягкая мебель; Корпусная мебель; Мебель для кухни,"Вокзальная улица, 85",2 этаж,633131,,,,Мошковский район,Новосибирская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+07:00,5.0,1,89538953975,89612191619,,,,,,,,https://vk.com/everest54,,,,,,,,,,,55.30107,83.613697,https://2gis.com/firm/70000001045208113,branch
Эвика,магазин по продаже корпусной мебели,Мебель на заказ; Корпусная мебель,"Светлановская улица, 50",43 сектор; 2 этаж,630047,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,,,89014514515,,,evika_mebel@mail.ru,,,,,,https://vk.com/mebelevika,https://wa.me/79014514515,,,,,,https://t.me/+79014514515,,,,55.081165,82.933157,https://2gis.com/firm/70000001111756159,branch
Этно-Дизайн,выставочный зал,Мебель на заказ; Корпусная мебель,"Светлановская улица, 50",43 сектор; 2 этаж,630047,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+07:00,4.6,13,83832003811,89137709050,89130137222,,,,,,,,https://wa.me/79137709050,,,,,,,,,,55.081032,82.932973,https://2gis.com/firm/70000001032566704,branch
Этно-Дизайн,производственная компания,Мебель на заказ; Корпусная мебель,"Большая улица, 171/1",1 этаж,630108,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительной записи),+07:00,3.7,3,83833411845,83832141235,,,,,,,,,https://wa.me/79137709050,,,,,,,,,,55.011603,82.839613,https://2gis.com/firm/70000001028836434,branch
Юник,студия интерьерных решений,Мебель на заказ; Корпусная мебель,"Фабричная улица, 19а",3 этаж,630007,,Железнодорожный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,,+07:00,,,89950099575,,,,,,,,,,,,,,,,,,,,55.017929,82.915685,https://2gis.com/firm/70000001114858784,branch
Ясно Древо,столярная мастерская,Мебель на заказ; Садово-парковая мебель; Остекление и отделка балконов; Строительство бань и саун; Пило- и лесоматериалы,"Старое шоссе, 82",,630059,Матвеевка м-н,Первомайский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00 (по предварительному звонку),+07:00,4.6,17,89132028109,,,,,,,,,,https://wa.me/79137449199,,,viber://chat/?number=79137449199,,,,,,,54.923436,83.074799,https://2gis.com/firm/70000001022575951,branch
