Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Город мебели,компания по продаже и изготовлению мебели на заказ,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мягкая мебель,"улица Сталеваров, 45",цокольный этаж; вход слева от супермаркета Пятёрочка,454038,Молодёжный городок м-н,Металлургический район,Челябинск,Челябинский городской округ,Челябинская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-18:00; Вс: 10:00-17:00,+05:00,3.0,2,89000974340,,,,,,,,,https://vk.com/gorodm74,,,,,,,,,,,55.24636,61.403883,https://2gis.com/firm/70000001112107396,branch
Д-лайн,салон мебели,Мебель на заказ; Мебельные магазины; Детская мебель; Корпусная мебель; Мебель для кухни,"улица Худякова, 12",18 сектор; 1 этаж; левое крыло; напротив магазина Модель,454048,,Центральный район,Челябинск,Челябинский городской округ,Челябинская область,Россия,Пн: 10:00-19:30; Вт: 10:00-19:30; Ср: 10:00-19:30; Чт: 10:00-19:30; Пт: 10:00-19:30; Сб: 10:00-19:30; Вс: 10:00-19:30,+05:00,4.5,17,89049347770,,,,,,,,,,,,,,,,,,,,55.148081,61.370107,https://2gis.com/firm/70000001018724524,branch
Дакс,компания по изготовлению мебели на заказ,Мебель на заказ; Мягкая мебель; Корпусная мебель,"Молдавская улица, 16",4 этаж,454021,,Курчатовский район,Челябинск,Челябинский городской округ,Челябинская область,Россия,Пн: 10:30-20:30; Вт: 10:30-20:30; Ср: 10:30-20:30; Чт: 10:30-20:30; Пт: 10:30-20:30; Сб: 10:30-20:30; Вс: 10:30-20:30,+05:00,1.0,1,89000604310,,,,,,,,,,,,,,,,,,,,55.190517,61.302774,https://2gis.com/firm/70000001047976182,branch
Дарим Мебель 74,салон мебели,Мебель на заказ; Офисная мебель; Мягкая мебель; Корпусная мебель; Мебель для кухни; Детская мебель; Матрасы; Ремонт мебели; Мебель для ванных комнат,"Черкасская улица, 17",23 секция; цокольный этаж,454036,,Курчатовский район,Челябинск,Челябинский городской округ,Челябинская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.9,23,89514449749,,,,,,,,,https://vk.com/darimmebel74,https://wa.me/79514449749,,,viber://chat/?number=79514449749,,,https://t.me/+79514449749,,,,55.229316,61.375317,https://2gis.com/firm/70000001051991908,branch
Дарина,мебельный салон,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мебель для кухни,"улица Дарвина, 18",26 сектор; 1 этаж; вход с ул. Дарвина,454087,,Советский район,Челябинск,Челябинский городской округ,Челябинская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.3,28,89043075416 (единая справочная: пн-вс 10:00-20:00),,,,,,,,,https://vk.com/darina174ru,https://wa.me/79043075416,,,viber://chat/?number=79043075416,,,https://t.me/+79043075416,,,,55.126237,61.369421,https://2gis.com/firm/70000001026708495,branch
Деревок,фабрика мебели,Мебель на заказ; Корпусная мебель,"улица Гагарина, 6",,456580,,,Еманжелинск,Еманжелинский муниципальный округ,Челябинская область,Россия,Пн: 10:30-18:00; Вт: 10:30-18:00; Ср: 10:30-18:00; Чт: 10:30-18:00; Пт: 10:30-18:00; Сб: 10:00-17:00; Вс: 10:00-17:00,+05:00,,,89124076869,,,,,,,,,,,,,,,,,,,,54.754273,61.318655,https://2gis.com/firm/70000001063912345,branch
Дизайн-мебель,,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель; Офисная мебель; Мебель для ванных комнат,"улица 30 лет ВЛКСМ, 140а к2",,456554,,,Коркино,Коркинский муниципальный округ,Челябинская область,Россия,Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 10:00-17:00,+05:00,,,89000687778,89043033777,,,,http://t.me/+vzeDmzyNA98xMWEy,,,,https://vk.com/dizainmebel74,https://wa.me/79000687778,https://wa.me/79043033777,,viber://chat/?number=79000687778,,,,,,,54.904065,61.352283,https://2gis.com/firm/70000001063109447,branch
Дом мебели,магазин мягкой мебели,Мебель на заказ; Мягкая мебель; Корпусная мебель; Мебель для кухни; Матрасы,"улица Моргунова, 14",,456550,,,Коркино,Коркинский муниципальный округ,Челябинская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,5.0,1,89525052636,,,,,,,,,https://vk.com/dom_mebeli74,,,,,,,,,,,54.895541,61.399552,https://2gis.com/firm/70000001067704086,branch
Дом плетеной мебели,,Мебель на заказ; Плетёные изделия; Садово-парковая мебель,"Кондукторский переулок, 28",,454046,Первый Плановый пос.,Ленинский район,Челябинск,Челябинский городской округ,Челябинская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,1,89080682706,,,,,,,,,https://vk.com/mebel174rotang,https://wa.me/79080682706,,,viber://chat/?number=79080682706,,,https://t.me/+79080682706,,,,55.121255,61.425012,https://2gis.com/firm/70000001066585763,branch
Доступная роскошь,мебельная фирма,Мебель на заказ; Мебельные фабрики; Мебель для кухни; Корпусная мебель; Мебельные магазины,"улица Свободы, 2 к5",3 этаж,454006,,Центральный район,Челябинск,Челябинский городской округ,Челябинская область,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00,+05:00,,,89514334275,,,,,,,,,,,,,,,,,,,,55.17439,61.410489,https://2gis.com/firm/70000001097256352,branch
