Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
К-артель,кузница,Мебель на заказ; Металлоконструкции для строительства; Заборы и ограждения; Автоматические ворота и шлагбаумы; Кованые изделия,"Светлая улица, 11",,,Серебряный бор+,,,Тюменский район,Тюменская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00,+05:00,5.0,7,89829100600,89829165541,,,,,,,,https://vk.com/k_artel72,https://wa.me/79829100600,https://wa.me/79829165541,,viber://chat/?number=79829165541,viber://chat/?number=79829100600,,https://t.me/+79829165541,,,,57.114705,65.869692,https://2gis.com/firm/70000001077240789,branch
Кабриоль,производственно-сервисная компания,Мебель на заказ; Офисная мебель; Мягкая мебель; Мебель для общественного питания; Мебельные ткани; Ремонт мебели; Детская мебель,"улица Черепанова, 80",1 этаж,625017,РТС м-н,Калининский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 12:00-18:00; Вт: 12:00-18:00; Ср: 12:00-18:00; Чт: 12:00-18:00; Пт: 12:00-18:00; Сб: 12:00-16:00 (по предварительному звонку),+05:00,,,89120799496,,,,,,,,,,https://wa.me/79120799496,,,,,,,,,,57.151564,65.451059,https://2gis.com/firm/1830115629736991,branch
Калина,многопрофильная компания,Мебель на заказ; Ремонт помещений; Дизайн интерьеров; Мебель для кухни; Натяжные потолки; Монтаж климатических систем,"Червишевский тракт, 37",307 офис; 3 этаж,625062,Южный м-н,Калининский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,1,89229007272,,,,,,,,,https://vk.com/remontkalina,,,,,,,,,,,57.120424,65.522027,https://2gis.com/firm/70000001112065701,branch
Каприз,мебельный салон,Мебель на заказ; Мягкая мебель; Мебель для кухни; Корпусная мебель; Детская мебель,"улица 30 лет Победы, 7/5",1 этаж,625007,,Калининский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,,,89097341585,,,,,,,,,https://vk.com/id645335615,,,,,,,https://t.me/+79097341585,,,,57.132463,65.556057,https://2gis.com/firm/70000001100230238,branch
Каприз,мебельный салон,Мебель на заказ; Мягкая мебель; Мебель для кухни; Корпусная мебель; Детская мебель,"улица 30 лет Победы, 4а ст3",,625007,,Калининский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,1.4,2,89966411732,,,,,,,,,,,,,,,,https://t.me/+79097341585,,,,57.130839,65.552658,https://2gis.com/firm/70000001100230215,branch
Каса нова,студия мебели,Мебель на заказ; Изделия из камня для помещений; Корпусная мебель; Мебель для кухни; Мебель для ванных комнат,"улица Парфёнова, 40",1 этаж; вход с ул. Парфёнова,625023,КПД м-н,Ленинский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.9,183,83452358010,89827871211,,casanova.s@mail.ru,,http://casanova.2gis.biz,http://t.me/casanova_mebel,http://jivo.chat/AfbVdpMVC1,,https://vk.com/kuxnicasanova,,,,,,,https://t.me/CASANOVA_studia,,,,57.130883,65.586582,https://2gis.com/firm/70000001052932162,branch
Каскад-мн,производственно-торговая компания,Мебель на заказ; Мебельные фабрики; Детская мебель; Корпусная мебель; Мебель для кухни; Мебель для учебных учреждений; Офисная мебель,"улица Высоцкого, 31",2 этаж,625014,Зайкова м-н,Ленинский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,5.0,4,83452520352 (доп.4),,,,,,,,,,,,,,,,,,,,57.117648,65.668962,https://2gis.com/firm/70000001018454727,branch
Катади,мебельная компания,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель; Мебель для учебных учреждений; Мебель для ванных комнат,"улица Ю.-Р.Г. Эрвье, 22",2 этаж,625022,,Центральный округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.7,28,89504857375 (офис продаж),89044915370,,,,,,,,https://vk.com/katadi,https://wa.me/79504857375,,,,,,https://t.me/+79504857375,,,,57.172868,65.567089,https://2gis.com/firm/1830115630211685,branch
Квадрат 72 мебель,,Мебель на заказ; Мебельные фабрики; Корпусная мебель; Детская мебель; Матрасы; Мебель для ванных комнат; Мебель для кухни; Офисная мебель,"Ветеранов Труда, 50",1 этаж,625031,,Ленинский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (по предварительному звонку),+05:00,5.0,21,89923074437,,,,,http://t.me/kvadrat72mebel,,,,https://vk.com/kvadrat72mebel,https://wa.me/79923074437,,,viber://chat/?number=79923074437,,,,,,,57.194428,65.597924,https://2gis.com/firm/70000001066710740,branch
Квартет,мебельная компания,Мебель на заказ; Мебельные фасады; Корпусная мебель; Мебель для ванных комнат; Мебель для кухни; Медицинская и лабораторная мебель; Мебель для учебных учреждений; Мягкая мебель; Офисная мебель; Мебель для культурно-досуговых учреждений; Детская мебель; Мебель для общественного питания,"проезд Воронинские горки, 158 ст10",,625001,,Калининский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00 (по предварительному звонку),+05:00,5.0,59,83452216909,83452216808,89582560059,,,,,,,https://vk.com/mkkvartet,,,,,,,https://t.me/+79963207938,,,,57.183173,65.469206,https://2gis.com/firm/70000001048143232,branch
Квартирный вопрос,компания по производству мебели,Мебель на заказ; Корпусная мебель; Мебель для кухни; Детская мебель; Офисная мебель,"улица Константина Посьета, 16",,625042,,Восточный округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00 (по предварительной записи: пн-сб),+05:00,5.0,16,89504928587 (производство),89199305885 (менеджер),,,,,,,,https://vk.com/tks13,https://wa.me/79199305885,https://wa.me/79923183898,,viber://chat/?number=79199305885,viber://chat/?number=79923183898,,https://t.me/+79923183898,https://t.me/+79199305885,,,57.09648,65.575123,https://2gis.com/firm/70000001026124422,branch
