Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Пространство,компания мебели на заказ,Мебель на заказ; Корпусная мебель,"Сахалинская улица, 14",,625034,,Ленинский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,89619999986,,,,,,,,,https://vk.com/prostranstvomeb,,,,,,,,,,,57.15451,65.624083,https://2gis.com/firm/70000001115288431,branch
Профас72,фабрика мебельных фасадов,Мебель на заказ; Мебельные фасады,"Судостроителей, 35",,625034,,Ленинский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,8,89129244747,89829147316,,,,,,,,,,,,,,,,,,,57.159622,65.645224,https://2gis.com/firm/70000001057196383,branch
Профстолоф,производственная компания,Мебель на заказ; Оборудование для салонов красоты; Массажное оборудование; Корпусная мебель; Мебель для салонов красоты,"Пархоменко, 54",1 этаж,625032,,Калининский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 11:00-15:00,+05:00,3.7,39,89617810299,,,,,,,,,https://vk.com/id315589560,https://wa.me/79617810299,,,viber://chat/?number=79617810299,,,https://t.me/+79617810299,,,,57.129798,65.520389,https://2gis.com/firm/70000001024508862,branch
Пять Звезд,мебельное ателье,"Мебель на заказ; Корпусная мебель; Распиловка древесины; Офисная мебель; Мебельная фурнитура; Мебель для кухни; Мебель для ванных комнат; ДСП, ДВП, фанера; Мебельные фасады; ЛДСП, ДВПО, МДФ; Детская мебель; Ремонт мебели","улица Новаторов, 5 ст1/3",4 складское помещение,625019,,Ленинский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,3,89526801570,,,,,,,,,,https://wa.me/79526801570,,,,,,https://t.me/+79526801570,,,,57.115642,65.616645,https://2gis.com/firm/70000001111255746,branch
Региональная Строительно Производственная Компания,,Мебель на заказ; Строительство дач и коттеджей; Строительство дорог; Ремонт помещений; Дизайн интерьеров,"Усадебная улица, 91а",3 офис; 2 этаж,625043,Нефтяников м-н,Центральный округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-13:00, 14:00-18:00",+05:00,5.0,2,89323237333,,,,,,,,,https://vk.com/id888597215,,,,,,,,,,,57.200285,65.589164,https://2gis.com/firm/70000001112990085,branch
РК-мебель,салон мебели под заказ,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мебель для кухни; Офисная мебель; Мебель для ванных комнат,"улица Евгения Войнова, 7",,625031,5-й заречный м-н,Центральный округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,16,89993650777,,,aksenova.84@mail.ru,,http://rkmebel72.ru/?utm_source=2gis&utm_medium=organic&utm_campaign=2gis,,,,https://vk.com/public204380514,https://wa.me/79220818818,,,viber://chat/?number=79220818818,,,https://t.me/+79220818818,,,,57.171292,65.582418,https://2gis.com/firm/70000001100680370,branch
РК-мебель,салон мебели под заказ,Мебель на заказ; Корпусная мебель; Детская мебель; Мягкая мебель; Мебель из стекла; Изделия из камня для помещений; Мебель для кухни; Офисная мебель; Мебель для ванных комнат,"Михаила Лермонтова улица, 6",,625062,,,,Тюменский район,Тюменская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи: сб-вс),+05:00,4.9,47,89220818818,,,aksenova.84@mail.ru,,http://rkmebel72.ru/?utm_source=2gis&utm_medium=organic&utm_campaign=2gis,,,,https://vk.com/public204380514,https://wa.me/79220818818,,,viber://chat/?number=79220818818,,,https://t.me/+79220818818,,,,57.08995,65.517284,https://2gis.com/firm/70000001069059355,branch
РК-мебель,салон мебели под заказ,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мебель для кухни; Офисная мебель; Мебель для ванных комнат,"Пароходская улица, 4",2 этаж; 2 подъезд,625002,,Центральный округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,98,89222634543,,,aksenova.84@mail.ru,,http://rkmebel72.ru/?utm_source=2gis&utm_medium=organic&utm_campaign=2gis,,,,https://vk.com/public204380514,https://wa.me/79222634543,,,viber://chat/?number=79220818818,,,https://t.me/+79220818818,,,,57.161025,65.553861,https://2gis.com/firm/70000001057849058,branch
Русь,мебельный комбинат,Мебель на заказ; Мебельные фасады; Мебельные фабрики; Мебель для кухни; Корпусная мебель; Мебель для ванных комнат,"Большая Заречная улица, 41",,625005,Заречный м-н,Центральный округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,"Пн: 08:30-12:00, 13:00-17:30; Вт: 08:30-12:00, 13:00-17:30; Ср: 08:30-12:00, 13:00-17:30; Чт: 08:30-12:00, 13:00-17:30; Пт: 08:30-12:00, 13:00-17:30",+05:00,5.0,6,89222477272,89324850101,,,,,,,,https://vk.com/mkrus72,https://wa.me/79222477272,,,,,,https://t.me/+79324850101,,,,57.172341,65.519006,https://2gis.com/firm/70000001084281067,branch
РусьМебель,мебельная фабрика,Мебель на заказ; Корпусная мебель; Мягкая мебель; Матрасы; Мебель для кухни,"Дамбовская улица, 10 ст1",,625034,,Ленинский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,4.9,2,89829481314,,,,,,,,,,https://wa.me/79044983150,,,,,,,,,,57.151224,65.610846,https://2gis.com/firm/1830115629747209,branch
