Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Торговый комплекс Докер,,,,,,,,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,,,0.0,0,,,,,,,,,,,,,,,,,,,,,56.762006,60.807137,https://2gis.com/firm/1267324589965484,adm_div
Дом дверей & кухонь,,Мебель на заказ; Межкомнатные двери; Входные двери; Корпусная мебель; Мебель для кухни,"Хибиногорский переулок, 4",8/3 офис; 1 этаж,620010,Химмаш м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 12:00-16:00,+05:00,4.3,6,89122973589,,,,,,,,,https://vk.com/domdvery06,,,,,,,,,,,56.755587,60.704174,https://2gis.com/firm/1267165676662577,branch
Дом-студия,мебельная студия,Мебель на заказ; Мебельные магазины; Мебель для кухни; Детская мебель,"Верх-Исетский бульвар, 13",А корпус; 202а офис; 2 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.3,23,89126500014,89924281350,,,,http://t.me/domstudia,,,,,https://wa.me/79126500014,,,,,,,,,,56.838101,60.574252,https://2gis.com/firm/1267165676549586,branch
Дом кухни,,Мебель на заказ; Мебель для кухни; Корпусная мебель; Офисная мебель; Детская мебель,"Ленинградская улица, 9",цокольный этаж,624250,,,Заречный,Заречный муниципальный округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00 (по предварительной записи),+05:00,,,89222969404,,,,,,,,,https://vk.com/ooo_dom_kuhni,https://wa.me/79222969404,,,,,,,,,,56.797224,61.321356,https://2gis.com/firm/70000001059497041,branch
Дом мебели,г. Полевской,Мебель на заказ; Мебельные магазины; Мягкая мебель; Корпусная мебель; Мебель для кухни,"улица Ленина, 9",1 этаж,623388,Ялунина м-н,,Полевской,Полевской муниципальный округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,,,89000363533,,,,,,,,,https://vk.com/id791899364,,,,,,,,,,,56.494113,60.237193,https://2gis.com/firm/70000001075433988,branch
Ева,,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель,"проспект Академика Сахарова, 51",1 этаж,620105,,Академический район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 11:00-18:00 (по предварительной записи),+05:00,5.0,7,89068012244,89655154219,,,,,,,,https://vk.com/id159460699,https://wa.me/79068012244,,,,,,,,,,56.784339,60.516692,https://2gis.com/firm/70000001023749072,branch
Европей,компания по производству корпусной и нестандартной мебели,Мебель на заказ; Корпусная мебель,"улица Толедова, 43Б",2 этаж,620990,Заречный м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,89028780363,,,,,,,,,,,,,,,,,,,,56.854083,60.546713,https://2gis.com/firm/70000001043219787,branch
Екитчен,,Мебель на заказ; Корпусная мебель,"улица Белинского, 108",,620063,Центр м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,83433009878,,,,,,,,,,,,,,,,,,,,56.819848,60.618228,https://2gis.com/firm/70000001113399299,branch
Екухни,салон кухонной мебели,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель,"улица Радищева, 12",310 офис; А секция; 3 этаж,620014,Центр м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи),+05:00,4.8,381,83433511948,,,ekuhni.rf@yandex.ru,,http://xn--e1akjxk5d.xn--p1ai/?utm_source=2gis&utm_medium=page2gis&utm_campaign=ekb,,,,https://vk.com/ekuhni_rf,https://wa.me/79675552124,,,,,,https://t.me/+79675552124,https://t.me/79675552124,,,56.830764,60.597695,https://2gis.com/firm/70000001030413073,branch
Загородный стиль,,Мебель на заказ; Садово-парковая мебель; Товары для бань и саун; Корпусная мебель,"Лесная улица, 112",,624053,Большая медведица коттеджный пос.,,,Верхнее Дуброво городской округ,Свердловская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,,,89045440855,,,,,,,,,,,,,,,,,,,,56.726989,61.089465,https://2gis.com/firm/70000001115018067,branch
Замес,производственная компания,Мебель на заказ; Мебельные фасады; Мебель для кухни; Мебель для ванных комнат,"Ленинский посёлок, 44а",3 помещение; 1 этаж,623700,,,Березовский,Березовский муниципальный округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+05:00,,,89826035533,89502002983,,,,,,,,,https://wa.me/79826035533,https://wa.me/79502002983,,,,,,,,,56.934161,60.785272,https://2gis.com/firm/70000001047885077,branch
Екб Восток,,Мебель на заказ; Корпусная мебель; Мягкая мебель; Светотехника; Комплектующие для дверей,"улица Энгельса, 19",,623750,,,Реж,Режевской муниципальный округ,Свердловская область,Россия,,+05:00,,,,,,,,,,,,,,,,,,,,,,,57.373078,61.386945,https://2gis.com/firm/70000001075825400,branch
