Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Perstal,компания по изготовлению металлических конструкций и полимерно-порошковому окрашиванию,Мебель на заказ; Металлообработка; Полимерная порошковая окраска; Металлоизделия; Металлическая мебель,"Большая Заречная улица, 2 ст9",,625005,Заречный м-н,Центральный округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00 (по предварительному звонку),+05:00,5.0,6,89829180620,,,,,,,,,https://vk.com/perstal,https://wa.me/79829180620,,,,,,https://t.me/+79829180620,,,,57.176435,65.520657,https://2gis.com/firm/70000001094440937,branch
Premier мебель,мебельный магазин,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мебель для кухни; Детская мебель; Мебель для ванных комнат; Офисная мебель,"улица Федюнинского, 43",3 этаж,625062,Тюменский 3-й м-н,Восточный округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.7,154,83452594920,,,,,http://premier-mebel72.ru/2gis/,http://t.me/premierfor,,,https://vk.com/premier.furniture,https://wa.me/79123958956,,,,,,,,,,57.112463,65.545536,https://2gis.com/firm/70000001064047274,branch
Premier мебель,мебельный магазин,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мебель для кухни; Детская мебель; Мебель для ванных комнат; Офисная мебель,"улица Мельникайте, 104",2 этаж,625026,,Ленинский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,144,83452594920,,,,,http://premier-mebel72.ru/2gis/,http://t.me/premierfor,,,https://vk.com/premier.furniture,https://wa.me/79123958956,,,,,,,,,,57.134056,65.563407,https://2gis.com/firm/70000001028692311,branch
Roud,мебельная компания,Мебель на заказ; Корпусная мебель,"улица Республики, 252 ст41",,625019,,Ленинский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.8,16,89199598008,89829108888,,,,,,,,,https://wa.me/79199598008,https://wa.me/79829108888,,,,,,,,,57.108923,65.631697,https://2gis.com/firm/70000001064786196,branch
Shedera,мебельная компания,Мебель на заказ; Мебель для кухни,"улица Михаила Сперанского, 43",,625033,Видный м-н,Восточный округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи),+05:00,5.0,37,89950929955,,,,,http://shedera.ru/?utm_source=2gis,,,,,https://wa.me/79950929955,,,,,,https://t.me/SHEDERA72,,,,57.09579,65.594056,https://2gis.com/firm/70000001104375198,branch
Shifoner,мастерская мебели,Мебель на заказ; Мебель для кухни; Детская мебель; Корпусная мебель,"улица Бакинских Комиссаров, 7 к1",2 этаж,625041,Дом обороны м-н,Калининский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.4,6,89199428507,,,,,,,,,https://vk.com/id712599870,,,,,,,,,,,57.15985,65.479461,https://2gis.com/firm/70000001068855428,branch
Siamebel,мебельная компания,Мебель на заказ; Мебельные фасады; Корпусная мебель; Мебель для кухни; Детская мебель; Мебель для ванных комнат; Офисная мебель; Мебель для общественного питания,"Бабарынка, 1 к6 ст1",1 помещение; 1 этаж,625001,,Калининский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00 (по предварительному звонку),+05:00,4.7,40,89220000295,,,,,http://t.me/siamebel72,,,,https://vk.com/siameb,https://wa.me/79935407700,,,,,,https://t.me/+79935407700,,,,57.180499,65.475933,https://2gis.com/firm/70000001046866261,branch
Sitnikov Form,мастерская мебели из металла и дерева на заказ,Мебель на заказ; Металлическая мебель; Детская мебель; Мебель для ванных комнат; Мебель для кухни; Офисная мебель; Металлоизделия; Мебельные фасады,,,625034,,Ленинский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,4.3,20,89220408039,,,,,,,,,https://vk.com/sitnikovfurniture,https://wa.me/79220408039,,,,,,https://t.me/sitnikov_form,,,,57.150253,65.611726,https://2gis.com/firm/70000001045884319,branch
Slavnaya Mebel,компания,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель,"улица Пермякова, 62",1 этаж; вход через магазин Юничел,625016,Пятый м-н,Восточный округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00 (по предварительному звонку),+05:00,5.0,2,89323177420,,,,,,,,,https://vk.com/slavnaya_mebel_72,https://wa.me/79323177420,,,,,,https://t.me/+79323177420,,,,57.115162,65.573698,https://2gis.com/firm/70000001094326248,branch
Sm-мебель,,Мебель на заказ; Сборка мебели; Электромонтажные работы; Ремонт и установка бытовой техники; Изготовление рекламных конструкций,"Полевая улица, 137",,625061,Топаз,Калининский округ,Тюмень,Тюмень городской округ,Тюменская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,,,89106088454,,,,,,,,,,https://wa.me/79106088454,,,viber://chat/?number=79106088454,,,,,,,57.138237,65.370688,https://2gis.com/firm/70000001047109371,branch
