Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Заготовка,столярная школа для детей и взрослых,Мебель на заказ; Дневные детские лагеря; Курсы творчества для взрослых; Курсы творчества для детей; Обучение рабочим профессиям,"Заборная улица, 62",правое крыло,614023,Налимиха ж/м,Кировский район,Пермь,Пермь городской округ,Пермский край,Россия,"Пн: 10:00-14:00, 15:00-20:00; Вт: 10:00-14:00, 15:00-20:00; Ср: 10:00-14:00, 15:00-20:00; Чт: 10:00-14:00, 15:00-20:00; Пт: 10:00-14:00, 15:00-20:00; Сб: 11:00-14:00, 15:00-18:00; Вс: 11:00-14:00, 15:00-18:00",+05:00,5.0,16,89223886160,,,zagotovkaperm@yandex.ru,,,,,,https://vk.com/zagotovkaperm,https://wa.me/79082486787,,,viber://chat/?number=79082486787,,,https://t.me/+79082486787,,,,58.057194,56.028515,https://2gis.com/firm/2252329095213457,branch
Дуэт-М,мебельный салон,Мебель на заказ; Корпусная мебель,"улица Карпинского, 140к",1 этаж,614012,Бахаревка ж/м,Индустриальный район,Пермь,Пермь городской округ,Пермский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,2.0,1,89194725318,,,,,,,,,https://vk.com/club69704474,,,,,,,,,,,57.956674,56.190495,https://2gis.com/firm/2252328095299715,branch
Камень на Каме,мастерская изделий из камня,Мебель на заказ; Изделия из камня для помещений; Корпусная мебель; Мебель для ванных комнат; Мебель для кухни; Ремонт мебели,"улица Яблочкова, 26",,614111,Крохалева ж/м,Свердловский район,Пермь,Пермь городской округ,Пермский край,Россия,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,,,89082598631,,,,,,,,,,https://wa.me/79082598631,,,,,,https://t.me/+79082598631,,,,57.970533,56.234736,https://2gis.com/firm/70000001100429018,branch
Камень-Инвест,компания по изготовлению изделий из натурального камня,Мебель на заказ; Изделия из камня для помещений; Облицовочный камень; Мебель для кухни; Интерьерные лестницы; Гидроабразивная резка неметаллов,"улица Седова, 8",11 офис,614016,Свердлова ж/м,Свердловский район,Пермь,Пермь городской округ,Пермский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,5,89127800520,83422055301,89519388561,,,,,,,https://vk.com/permkamen,https://wa.me/79127800520,,,,,,https://t.me/+79127800520,,,,57.996449,56.247114,https://2gis.com/firm/70000001079102754,branch
Каприз,мебельный салон,Мебель на заказ; Мебель для кухни; Детская мебель; Корпусная мебель; Матрасы,"Ласьвинская улица, 37",2 зал; 2 этаж,614101,Чистопольский м-н,Кировский район,Пермь,Пермь городской округ,Пермский край,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00,+05:00,4.0,9,89223300927,,,,,,,,,https://vk.com/mebelsalonkapriz,https://wa.me/79223300927,,,,,,https://t.me/+79223300927,,,,58.003454,55.939714,https://2gis.com/firm/70000001030407721,branch
Клёнвуд,салон мебели,Мебель на заказ; Офисная мебель; Корпусная мебель; Мебель для кухни,"улица Героев Хасана, 109",2 этаж,614025,,Свердловский район,Пермь,Пермь городской округ,Пермский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.7,16,89526572202,,,,,,,,,https://vk.com/klenwood_perm,https://wa.me/79526572202,,,viber://chat/?number=79526572202,,,,,,,57.957529,56.266102,https://2gis.com/firm/70000001061434387,branch
Комодик,компания по изготовлению мебели,Мебель на заказ; Мебель для кухни; Офисная мебель; Детская мебель; Корпусная мебель; Мебель для ванных комнат,"Пихтовая улица, 37 к3",,614025,,Свердловский район,Пермь,Пермь городской округ,Пермский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+05:00,5.0,1,89223407707,,,,,,,,,https://vk.com/individualfurnitureproject,https://wa.me/79223407707,,,viber://chat/?number=79223407707,,,,,,,57.975565,56.280808,https://2gis.com/firm/70000001081224698,branch
Компания мебели на заказ,,Мебель на заказ; Корпусная мебель; Памятники и надгробия,"Сукманская улица, 10а",,617005,,,,Нытвенский муниципальный округ,Пермский край,Россия,,+05:00,,,89028003848,,,,,,,,,,,,,,,,,,,,57.942917,55.551016,https://2gis.com/firm/70000001105558826,branch
Идея,дизайн-студия мебели,Мебель на заказ; Корпусная мебель; Мебель для кухни; Детская мебель,"Краснофлотская улица, 28",1 этаж,614016,Громово ж/м,Свердловский район,Пермь,Пермь городской округ,Пермский край,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+05:00,1.0,1,83422576750,,,,,,,,,,,,,,,,,,,,57.996696,56.240447,https://2gis.com/firm/2252328095571012,branch
ИП Попов О.И.,,Мебель на заказ; Корпусная мебель; Мягкая мебель; Садово-парковая мебель; Мебель для кухни,"Советская улица, 2/10 ст6",,617762,,,Чайковский,Чайковский городской округ,Пермский край,Россия,,+05:00,,,,,,,,,,,,,,,,,,,,,,,56.774245,54.115497,https://2gis.com/firm/70000001075966319,branch
