Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Столярная мастерская,,Мебель на заказ; Строительство дач и коттеджей; Строительство бань и саун; Корпусная мебель,"Норильская улица, 18",19 павильон; рынок Мясокомбинат,660115,Западный м-н,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,,+07:00,,,89082075960,,,,,,,,,,,,,,,,,,,,56.056526,92.710881,https://2gis.com/firm/70000001113755147,branch
Столярная мастерская,,Мебель на заказ; Интерьерные лестницы,"Южная улица, 2",,662510,Рубин,,,Сосновоборский муниципальный округ,Красноярский край,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00 (по предварительному звонку),+07:00,5.0,1,89233541041,,,,,,,,,https://vk.com/club232051787,,,,,,,,,,,55.940439,93.066484,https://2gis.com/firm/70000001103629187,branch
Столярная мастерская,,Мебель на заказ; Корпусная мебель,"Советская улица, 155в",,663020,,,,Емельяновский муниципальный округ,Красноярский край,Россия,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00; Вс: 10:00-17:00,+07:00,5.0,1,89138371861,,,,,,,,,,,,,,,,,,,,56.173004,92.702709,https://2gis.com/firm/70000001096838984,branch
Столярная мастерская,,Мебель на заказ; Мебель для ванных комнат; Корпусная мебель; Мебель для кухни,"Енисейский тракт 10 километр, 3 ст1",,660119,,,Красноярск,Красноярск городской округ,Красноярский край,Россия,Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+07:00,4.5,8,89950779566 (отдел столярных изделий),89233516001 (отдел корпусной мебели),,,,,,,,,https://wa.me/79233302101,,,,,,,,,,56.115951,92.944578,https://2gis.com/firm/70000001067380965,branch
Столярная мастерская,,Мебель на заказ; Деревообработка; Корпусная мебель; Межкомнатные двери; Входные двери,"Трактовая улица, 9/1",,662521,,,,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,5.0,1,89029296849,,,,,,,,,,https://wa.me/79029296849,,,,,,,,,,56.022948,93.110763,https://2gis.com/firm/70000001040586588,branch
Столярная мастерская,,Мебель на заказ; Входные двери; Межкомнатные двери; Мебель для кухни,"улица 60 лет Октября, 2",78 корпус,660006,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+07:00,,,89048905556,,,,,,,,,,https://wa.me/79048905556,,,,,,https://t.me/+79048905556,,,,55.975768,92.835903,https://2gis.com/firm/70000001007543109,branch
Столярная мастерская,,Мебель на заказ; Деревообработка; Интерьерные лестницы; Окна; Садово-парковая мебель; Товары для бань и саун; Входные двери; Межкомнатные двери; Ремонт окон; Реставрация исторических памятников; Ремонт мебели,"Продольная улица, 760",,660015,Отдых,,,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-14:00,+07:00,3.4,3,89029406020,,,,,,,,,,https://wa.me/79029406020,,,viber://chat/?number=79029406020,,,,,,,56.052019,92.826699,https://2gis.com/firm/985690699846249,branch
Столярная мастерская по производству мебели под заказ,,Мебель на заказ; Деревообработка; Интерьерные лестницы; Межкомнатные двери; Чердачные лестницы,"улица Александра Матросова, 30 ст61",,660079,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительному звонку),+07:00,,,83912506738,89135326738,,,,,,,,,,,,viber://chat/?number=79135326738,,,https://t.me/+79135326738,,,,55.974567,92.887303,https://2gis.com/firm/70000001032789574,branch
Столярный континент,,Мебель на заказ; Деревообработка; Интерьерные лестницы,"Гаражная площадка, 18 ст5",,660119,,,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+07:00,5.0,2,89029779303,,,,,,,,,,https://wa.me/79029779303,,,,,,https://t.me/+79029779303,,,,56.122987,92.921854,https://2gis.com/firm/70000001066274111,branch
Стройбыт,производственно-коммерческое предприятие,"Мебель на заказ; Стройматериалы; Отделочные материалы; Пило- и лесоматериалы; Кирпич; Тротуарная плитка; Гипсокартон; Чёрный металлопрокат; Гидроизоляционные материалы; Железобетонные изделия; Звукоизоляционные материалы; Огнеупорные материалы; Оргстекло и поликарбонат; Погонажные изделия; Песок и щебень; Бетон и раствор; Сухие строительные смеси; Строительные блоки; Цемент; ДСП, ДВП, фанера; Садово-парковая мебель; Интерьерные лестницы; Металлоизделия; Сварочные материалы; Электроинструмент; Асбестотехническая продукция; Огнезащитные материалы; Замки и скобяные изделия; Системы водоотведения; Теплоизоляционные материалы; Фасадные материалы и конструкции; Крепёж; Кровельные материалы; Лаки и краски; Деревообработка; Аренда спецтехники; Городские автогрузоперевозки; Хозтовары; Кабель и провод; Биотопливо; Детское игровое оборудование",,,660005,,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00; Сб: 08:00-17:00,+07:00,3.5,15,83912040221,,,,,,,,,https://vk.com/public163043920,https://wa.me/79676091361,,,viber://chat/?number=79676091361,,,,,,,56.05444,92.938927,https://2gis.com/firm/985690699491701,branch
Студия 124,производственная компания,Мебель на заказ; Торгово-выставочное оборудование; Офисная мебель; Корпусная мебель; Детская мебель; Сборка мебели; Мебель для кухни; Мебель для учебных учреждений,"проспект им. газеты Красноярский Рабочий, 27 ст92",310 офис; 3 этаж,660037,,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00,+07:00,2.3,4,83912425279,,,,,,,,,https://vk.com/mk_studio124,https://wa.me/79632660033,,,,,,https://t.me/+79632660033,,,,56.016795,93.009596,https://2gis.com/firm/985690699472069,branch
Студия мебели на заказ,,Мебель на заказ; Корпусная мебель,,,660015,,,,Красноярск городской округ,Красноярский край,Россия,,+07:00,,,,,,,,,,,,,,,,,,,,,,,56.126014,92.915544,https://2gis.com/firm/70000001114043751,branch
Талгат,столярная мастерская,Мебель на заказ; Деревообработка; Садово-парковая мебель; Корпусная мебель; Мебель для кухни; Интерьерные лестницы; Детская мебель,"улица Старый Скит, 17/2",,663090,,,Дивногорск,Дивногорск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,,,89029208601,,,,,,,,,,https://wa.me/79029208601,,,viber://chat/?number=79029208601,,,,,,,55.961808,92.396014,https://2gis.com/firm/985690699634253,branch
Талма,,Мебель на заказ; Мебель для кухни; Корпусная мебель,"Электриков улица, 154/1",,660079,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+07:00,5.0,1,89080208855,89509713737,,,,,,,,https://vk.com/talma_mebel,,,,,,,,,,,55.971028,92.880109,https://2gis.com/firm/70000001099893382,branch
Твоя индивидуальная мебель!,,Мебель на заказ; Матрасы; Мягкая мебель,"улица Академика Вавилова, 2а/19",,660064,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-16:00,+07:00,4.9,60,83912729762,,,,,,,,,https://vk.com/sleeper124,https://wa.me/79676129762,,,,,,https://t.me/matrasdlyavas,,,,55.994443,92.90843,https://2gis.com/firm/70000001042703810,branch
