Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Мебель-Мармелад,мебельная фабрика,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель; Офисная мебель; Изделия из камня для помещений,"2-я Станционная улица, 26 к8",1 этаж,630096,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи),+07:00,4.6,19,89130077940,,,,,,,,,,https://wa.me/79130077940,,,,,,,,,,55.00765,82.820015,https://2gis.com/firm/70000001027668670,branch
МебельMania,,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель; Детская мебель; Офисная мебель,"улица Петухова, 69",2 этаж,630088,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи),+07:00,4.9,52,89833050554,89061958999,,,,,,,,https://vk.com/mebelmania_nsk,https://wa.me/79833050554,,,,,,,,,,54.942516,82.905443,https://2gis.com/firm/70000001048551048,branch
МебельProf,,Мебель на заказ; Мебель для кухни; Корпусная мебель,"Станционная улица, 38",309 офис; 3 этаж,630108,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,,,89232323770,,,,,,,,,,,,,,,,,,,,54.997574,82.845523,https://2gis.com/firm/70000001100102732,branch
Мебельная компания,,Мебель на заказ; Офисная мебель; Корпусная мебель; Мебель для кухни; Сборка мебели,"Ионосферная улица, 4/28",,630090,Верхняя зона Академгородка м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00 (по предварительному звонку),+07:00,,,89538010882,,,,,,,,,,https://wa.me/79538010882,,,,,,,,,,54.845658,83.12486,https://2gis.com/firm/141266769573431,branch
Мебельная компания,,Мебель на заказ; Офисная мебель; Мебель для кухни; Корпусная мебель; Мебель для учебных учреждений,"улица Арбузова, 2/8",,630117,Нижняя зона Академгородка м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,4.7,9,89232275540,,,,,,,,,,https://wa.me/79232275540,,,,,,,,,,54.868447,83.109078,https://2gis.com/firm/141265769969480,branch
Мебельная компания №1,,Мебель на заказ; Корпусная мебель; Мебель для кухни; Детская мебель; Офисная мебель; Мебель для ванных комнат,"1-я Ракитная улица, 22",,630029,Лесоперевалка м-н,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 11:00-18:00 (по предварительному звонку),+07:00,4.8,26,89137636699,,,scatsl@mail.ru,,http://mebel-054.ru/?utm_source=2gis&utm_medium=cta&utm_campaign=2gis,,,,https://vk.com/mebel_054,https://wa.me/79137636699,,,viber://chat/?number=79137636699,,,https://t.me/+79137636699,,,,55.016126,82.87812,https://2gis.com/firm/70000001063754790,branch
Мебельная компания Сибири,компания по производству мягкой мебели,Мебель на заказ; Мягкая мебель,"Светлановская улица, 50",49 сектор; 2 этаж,630047,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,3.8,25,89138974481,,,,,,,,,,,,,,,,,,,,55.08154,82.932167,https://2gis.com/firm/141265769792227,branch
Мебельная мастерская,,Мебель на заказ; Торгово-выставочное оборудование; Корпусная мебель; Офисная мебель; Перегородки; Мебель для кухни,"Степная улица, 25а",,630079,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+07:00,,,83832996592,89139176592,,,,,,,,,https://wa.me/79139176592,,,,,,,,,,54.977692,82.875253,https://2gis.com/firm/141265770034849,branch
Мебельная студия Станислава Шмакова,,Мебель на заказ; Корпусная мебель; Детская мебель; Мебель для ванных комнат; Мебель для кухни; Офисная мебель,"улица Крылова, 34",281 офис; 1 этаж,630091,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00 (по предварительной записи),+07:00,4.6,8,89831210929,89139178059,,,,http://t.me/nsk_mebel54,,,,https://vk.com/mebelstsh,https://wa.me/79831210929,,,,,,,,,,55.041061,82.92875,https://2gis.com/firm/70000001043582192,branch
Мебельник,"компания по изготовлению, ремонту и перетяжки мягкой мебели",Мебель на заказ; Ремонт мебели,,,,,,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи: пн-вс 8:00-23:00),+07:00,4.4,5,89130059188,,,,,,,,,,https://wa.me/79130059188,,,,,,https://t.me/pushnick,,,,,,https://2gis.com/firm/70000001067877702,branch
Мебельное ателье,,Мебель на заказ; Корпусная мебель,"Красная Сибирь, 1/2",,633011,,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00 (по предварительному звонку),+07:00,4.7,11,89139295531,,,,,,,,,,https://wa.me/79139295531,,,,,,,,,,54.765656,83.085574,https://2gis.com/firm/141265769801224,branch
Мебельный салон,,Мебель на заказ; Мягкая мебель,"улица Плахотного, 55а",,630136,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+07:00,3.7,3,89094128025,,,,,,,,,,,,,,,,,,,,54.985201,82.859409,https://2gis.com/firm/70000001096866237,branch
Мебельный салон,,Мебель на заказ; Мебельные магазины; Мягкая мебель; Корпусная мебель,"Вокзальный переулок, 20",1 этаж,633100,,,Обь,Обь городской округ,Новосибирская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:15-18:00; Вс: 10:15-17:00,+07:00,4.3,6,89133963670,,,,,,,,,,https://wa.me/79133963670,,,,,,,,,,54.989248,82.731268,https://2gis.com/firm/70000001039566014,branch
Мебельный стандарт,салон мягкой мебели,Мебель на заказ; Мебельные магазины; Мягкая мебель,"Светлановская улица, 50",3 сектор; 0 этаж,630047,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,4.7,10,89139180262 (единая справочная: пн-вс 10:00-20:00),,,,,,,,,https://vk.com/medvediza,,,,,,,,,,,55.081879,82.933582,https://2gis.com/firm/141265769944984,branch
Мебельный Центр Сибири,торгово-выставочный комплекс,Мебель на заказ; Мебель для кухни; Мягкая мебель; Межкомнатные двери,"улица Пермитина, 24",3 этаж,630078,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,2.7,10,89833115644,,,,,,,,,,,,,,,,,,,,54.991531,82.893595,https://2gis.com/firm/141265769381830,branch
Мебельшоп,компания,Мебель на заказ; Корпусная мебель; Детская мебель; Мебель для кухни; Мебельная фурнитура,"улица Кирова, 113/4",2 этаж,630008,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 12:00-18:00,+07:00,,,83832990079,,,,,,,,,,https://wa.me/79139040217,,,,,,,,,,55.012666,82.954663,https://2gis.com/firm/70000001034020526,branch
Металайн,компания по производству мебели и оборудования для бизнеса,Мебель на заказ; Офисная мебель; Металлическая мебель; Сейфы; Корпусная мебель; Медицинская и лабораторная мебель; Мягкая мебель; Пищевое оборудование,,,,,,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,4.8,180,83833635857,83833635859,89237754959,,,,,,,https://vk.com/metalaingrupp,https://wa.me/79237754959,,,viber://chat/?number=79237754959,,,,,,,,,https://2gis.com/firm/141266769786451,branch
Металл-завод,региональное представительство,Мебель на заказ; Металлическая мебель; Стеллажи и витрины; Сейфы; Торгово-выставочное оборудование; Мебель для учебных учреждений; Офисная мебель; Оборудование для общепита,"Северный проезд, 32",,630088,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-17:00,+07:00,4.9,2,89628290109,83833523801,83833523631,,,,,,,https://vk.com/metall.zavod,,,,,,,,,,,54.94973,82.931623,https://2gis.com/firm/141265769810164,branch
Метраж,,Мебель на заказ; Корпусная мебель; Офисная мебель; Мебель для кухни; Мебель для ванных комнат; Детская мебель,"Часовая улица, 6 к19",,630098,ОбьГЭС м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительному звонку),+07:00,5.0,3,89039346073,,,,,http://t.me/met_rush,,,,,https://wa.me/79137273777,,,,,,,,,,54.867062,82.979254,https://2gis.com/firm/70000001111154426,branch
Микс,мастерская мебели,Мебель на заказ; Корпусная мебель; Мебель для кухни; Детская мебель,"Чернореченский посёлок, 9",,633227,,,,Искитимский район,Новосибирская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-15:00,+07:00,5.0,3,89137186683,,,,,,,,,,https://wa.me/79965447568,,,,,,,,,,54.644474,83.268486,https://2gis.com/firm/70000001103436770,branch
