Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Стиль La`Rus,салон мебели,Мебель на заказ; Мебельные магазины; Мебель для кухни; Детская мебель; Корпусная мебель,"улица Малышева, 8",202 бутик; 2 этаж,620014,Центр м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,5.0,3,83433451607,83433804171,,,,http://t.me/stylelarus,,,,,,,,,,,,,,,56.83204,60.585818,https://2gis.com/firm/70000001023617689,branch
Спектр,магазин,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мягкая мебель,"улица Кирова, 39",,623080,,,Михайловск,Нижнесергинский район,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,,,,,,,,,,,,,,,,,,,,,,,56.440433,59.124145,https://2gis.com/firm/70000001076003936,branch
СпецТорг,компания по производству и продаже мебели,Мебель на заказ; Противопожарное оборудование; Корпусная мебель; Мягкая мебель; Мебель для кухни,"Красноармейская улица, 10",1106 офис,620000,Центр м-н,Октябрьский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,,,89049881278,83433795700,,,,,,,,https://vk.com/spetstorgmebel,https://wa.me/79049881278,,,,,,https://t.me/+79049881278,,,,56.837285,60.615709,https://2gis.com/firm/70000001113192254,branch
Сталкер,мебельная компания,Мебель на заказ; Мебель для кухни,"Орджоникидзе, 19Б",209 офис; 2 этаж,623700,,,Березовский,Березовский муниципальный округ,Свердловская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00 (по предварительной записи: пн-пт),+05:00,,,89049882746,,,,,,,,,,,,,,,,,,,,56.917699,60.780176,https://2gis.com/firm/70000001045137459,branch
Сталь в интерьерах,компания,Мебель на заказ; Металлическая мебель; Металлоизделия,"улица Фронтовых Бригад, 18 к3",218 офис; 2 этаж,620091,Эльмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,1,89222067837,,,,,http://t.me/steel_in_interiors,,,,https://vk.com/steel_in_interiors,https://wa.me/79221480720,,,,,,,,,,56.878175,60.641771,https://2gis.com/firm/70000001043197542,branch
ТПК Стальмодуль,,Мебель на заказ; Металлоконструкции для строительства; Теплицы; Металлоизделия; Заборы и ограждения,"улица Строителей, 47ф",9 бокс,620050,Старая Сортировка м-н,Железнодорожный район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,1,89918011961,,,,,,,,,https://vk.com/stillmodul,https://wa.me/79918011961,,,,,,,,,,56.872529,60.509614,https://2gis.com/firm/70000001082790001,branch
Урал-групп,магазин мебели,Мебель на заказ; Корпусная мебель; Мебель для кухни,"микрорайон Зелёный Бор-1, 15",1 этаж,623382,Зелёный Бор-1 м-н,,Полевской,Полевской муниципальный округ,Свердловская область,Россия,Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00 (по предварительной записи),+05:00,,,83435055636,89530098455,89827190634,,,,,,,https://vk.com/estetmabel96,,,,,,,,,,,56.510319,60.272716,https://2gis.com/firm/70000001051647679,branch
Урал-мебель-комплект,,Мебель на заказ; Офисная мебель; Корпусная мебель; Мебель для кухни; Торгово-выставочное оборудование,"Стачек, 70",цокольный этаж,620091,Эльмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,1,83433721211,83432173434,,,,,,,,,,,,,,,,,,,56.899219,60.616318,https://2gis.com/firm/1267165676573592,branch
Студия Комфорта,салон интерьера,Мебель на заказ; Карнизы; Портьерные ткани и шторы; Жалюзи; Мебельные ткани,"улица Академика Бардина, 27",1 этаж,620149,Юго-Западный м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-18:00; Вс: 11:00-18:00,+05:00,4.0,4,89126923441,89630474068,,,,,,,,https://vk.com/studiya_komfort,https://wa.me/79126923441,https://wa.me/79630474068,,,,,https://t.me/+79630474068,https://t.me/+79126923441,,,56.804566,60.560334,https://2gis.com/firm/1267166676191220,branch
Студия Н,салон офисной мебели,Мебель на заказ; Офисная мебель; Дизайн интерьеров,"Верх-Исетский бульвар, 13в",В корпус; 308 офис; 3 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00,+05:00,,,83433802171,89043899141,,,,,,,,,https://wa.me/79043899141,,,,,,,,,,56.837692,60.574486,https://2gis.com/firm/1267165676704570,branch
