Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Динск-Мебель,группа компаний,Мебель на заказ; Корпусная мебель; Мебель для кухни; Металлическая мебель; Мебельные фасады,"улица Суворова, 61",,353201,,,,Динской район,Краснодарский край,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+03:00,,,89284444663,89283333662,,,,,,,,,https://wa.me/79284444663,https://wa.me/79283333662,,,,,,,,,45.196702,39.256562,https://2gis.com/firm/70000001007292331,branch
Вид. Ок,,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель; Межкомнатные двери; Декоративные отделочные материалы,"улица Калинина, 22",,352602,,,,Белореченский район,Краснодарский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,,,89182656571,,,,,,,,,,https://wa.me/79182656571,,,,,,,,,,44.725511,39.83132,https://2gis.com/firm/70000001064865935,branch
Вид. Ок,производственная дизайн-студия мебели для дома и бизнеса,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель; Межкомнатные двери; Декоративные отделочные материалы,"улица им. Калинина, 327",201 павильон; 2 этаж,350000,,Западный округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00; Сб: 11:00-18:00; Вс: 11:00-18:00 (по предварительному звонку: вт-вс),+03:00,3.0,2,89182656571,,,,,,,,,,https://wa.me/79182656571,,,,,,https://t.me/+79182656571,https://t.me/79182656571,,,45.038578,38.966579,https://2gis.com/firm/70000001041110574,branch
Винт и Пуф,мебельный склад,Мебель на заказ; Мягкая мебель; Корпусная мебель; Мебель для кухни; Офисная мебель; Матрасы,"улица Кирова, 2Б",1 этаж,352630,,,Белореченск,Белореченский район,Краснодарский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+03:00,5.0,2,89284682030,,,,,,,,,,https://wa.me/79531040701,,,,,,https://t.me/+79284682030,,,,44.752585,39.881003,https://2gis.com/firm/70000001052038210,branch
Всё для дома,магазин,Мебель на заказ; Бытовая техника; Посуда; Домашний текстиль; Сувениры; Мебель для кухни; Обои,"Привокзальная улица, 15",,385750,,,,Майкопский район,Республика Адыгея,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+03:00,1.4,1,89284707190,,,,,,,,,,,,,,,,,,,,44.290935,40.182332,https://2gis.com/firm/70000001029806297,branch
Данила Мастер,салон,Мебель на заказ; Мебель для кухни; Корпусная мебель,"улица Чкалова, 71",6 офис; 2 этаж,385018,Черёмушки м-н,,Майкоп,Майкоп городской округ,Республика Адыгея,Россия,Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00,+03:00,,,89284672964,89189204178,,,,,,,,,https://wa.me/79284672964,https://wa.me/79189204178,,,,,,,,,44.613452,40.06269,https://2gis.com/firm/70000001023084151,branch
Зигзаг,компания по изготовлению корпусной мебели под заказ,Мебель на заказ; Корпусная мебель; Мебель для кухни; Мебель для ванных комнат; Мебельные фасады; Мебельные магазины,"Кожевенная улица, 18",1 этаж,350004,,Западный округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+03:00,5.0,3,89183234545,,,,,,,,,,https://wa.me/79183234545,,,,,,https://t.me/+79183234545,,,,45.038248,38.939431,https://2gis.com/firm/70000001027432989,branch
Злата,салон мебели,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мягкая мебель; Мебель для кухни,"улица Коммунаров, 278/4",,350020,,Центральный округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00; Вс: 10:00-17:00,+03:00,3.7,3,89181584339,,,,,,,,,,https://wa.me/79181584339,,,,,,https://t.me/+79181584339,,,,45.052254,38.985523,https://2gis.com/firm/70000001007432993,branch
Изба,студия мебели,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мягкая мебель; Детская мебель,"улица Григория Булгакова, 10",1 этаж,350005,,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 11:00-18:00,+03:00,5.0,2,89384114111,,,,,,,,,https://vk.com/izba_krd,,,,,,,https://t.me/+79384114111,,,,45.110009,38.958024,https://2gis.com/firm/70000001089661347,branch
Имидж Ресурс Юг,рекламно-производственная фирма,Мебель на заказ; Изготовление рекламных конструкций; Световая реклама; Широкоформатная печать; УФ-печать; Полиграфия; Прямая цифровая печать; Металлическая мебель; Садово-парковая мебель,"Харьковская улица, 81/6 к1",9 офис; 3 этаж,350004,Юбилейный м-н,Западный округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,4.1,22,89649084701,89649084710,,,,,,,,,https://wa.me/79649084701,https://wa.me/79649084710,,,,,,,,,45.036948,38.920761,https://2gis.com/firm/3237491513643184,branch
Европрестиж,салон мебели,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель,"Октябрьская улица, 95",1 этаж,350000,,Западный округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+03:00,5.0,2,89282105858,89282102030,,,,,,,,,https://wa.me/79282102030,,,,,,,,,,45.027213,38.966683,https://2gis.com/firm/70000001019314944,branch
Екатерининские мастерские,столярный цех,Мебель на заказ; Заборы и ограждения; Интерьерные лестницы; Садово-парковая мебель; Мебель для общественного питания; Корпусная мебель; Офисная мебель; Фрезеровка неметаллов,"Путевая улица, 9",1 этаж,350015,,Центральный округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+03:00,1.0,2,89604848726,,,,,,,,,,https://wa.me/79604848726,,,,,,,,,,45.044748,38.987686,https://2gis.com/firm/3237490513252292,branch
Глория мебель,салон мебели,Мебель на заказ; Мебельные магазины; Корпусная мебель; Детская мебель; Мебель для кухни; Матрасы; Офисная мебель,"Анапское шоссе, 20",2 этаж,353445,,,Анапа,Анапа муниципальный округ,Краснодарский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,4.5,16,89181935038,89654645727,,,,http://t.me/gloria_mebel_anapa,http://jivo.chat/fF1EVzSZMz,,,https://vk.com/mebel_anapa_krasnodar,https://wa.me/79181935038,,,viber://chat/?number=79181935038,,,https://t.me/+79181935038,,,,44.898706,37.351863,https://2gis.com/firm/70000001021891792,branch
Гранд мебель,салон мебели,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мебель для кухни; Мягкая мебель; Матрасы; Детская мебель; Садово-парковая мебель,"Геленджикский проспект, 6",,353460,,,Геленджик,Геленджик городской округ,Краснодарский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+03:00,5.0,3,89288807107,,,,,,,,,,https://wa.me/79288807107,,,,,,https://t.me/+79288807107,,,,44.560653,38.095189,https://2gis.com/firm/70000001036165995,branch
Компания по изготовлению корпусной мебели,,Мебель на заказ; Корпусная мебель,"Ростовское шоссе, 14/9",,350072,,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00; Вс: 09:00-17:00 (по предварительному звонку),+03:00,,,89183653346,89882450785,,,,,,,,,,,,,,,,,,,45.070346,38.988339,https://2gis.com/firm/70000001093561820,branch
Компания по изготовлению мебели,,Мебель на заказ; Корпусная мебель; Офисная мебель,,,,,,,Динской район,Краснодарский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,,,89180856528,,,,,,,,,,,,,,,,,,,,,,https://2gis.com/firm/70000001114395472,branch
Компания по изготовлению мебели на заказ,,Мебель на заказ; Корпусная мебель,"Думенко, 6",,350089,Юбилейный м-н,Западный округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00 (по предварительному звонку),+03:00,,,89604909562,,,,,,,,,,,,,,,,,,,,45.03532,38.917478,https://2gis.com/firm/70000001114112204,branch
Компания по изготовлению мебели под заказ,,Мебель на заказ; Мягкая мебель,"улица Игнатова, 2",,350061,Гидростроителей м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00 (по предварительному звонку),+03:00,5.0,1,89883865609,,,,,,,,,,https://wa.me/79883865609,,,,,,https://t.me/+79883865609,,,,45.011262,39.071464,https://2gis.com/firm/70000001089446717,branch
