Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Изометрия,мебельная компания,Мебель на заказ; Офисная мебель; Корпусная мебель; Мебель для кухни; Детская мебель; Мебель для ванных комнат,"улица 26 Бакинских Комиссаров, 8 ст67",,660023,,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+07:00,3.7,3,89131948589,,,,,,,,,https://vk.com/id741627946,https://wa.me/79131948589,,,viber://chat/?number=79131948589,,,,,,,56.035454,93.034874,https://2gis.com/firm/70000001028050681,branch
Империя мебели,,Мебель на заказ; Корпусная мебель; Мебель для кухни; Детская мебель,"улица Кравченко, 5а",,662150,,,Ачинск,Ачинский муниципальный округ,Красноярский край,Россия,,+07:00,,,89069711302,,,,,,,,,,,,,,,,,,,,56.269208,90.503941,https://2gis.com/firm/70000001115085031,branch
Иннова,мебельная компания,Мебель на заказ; Офисная мебель; Мебель для ванных комнат; Детская мебель; Мебель для салонов красоты; Мебель для общественного питания; Дизайн интерьеров; Корпусная мебель; Мебель для кухни,"Свердловская улица, 101а",207 офис; 2 этаж,660006,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+07:00,4.4,7,89676127922,83912727922,,,,,,,,https://vk.com/innovamebel24,https://wa.me/79676127922,,,,,,https://t.me/+79676127922,,,,55.975287,92.805627,https://2gis.com/firm/70000001103373212,branch
Интерьер,мебельная компания,Мебель на заказ; Корпусная мебель; Мебель для кухни,"улица 60 лет Октября, 168 ст3",1 этаж,660079,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00,+07:00,5.0,36,89029901407,,,,,,,,,,https://wa.me/79029901407,,,,,,,,,,55.987217,92.924634,https://2gis.com/firm/70000001039878346,branch
Интерьер,мебельная фабрика,Мебель на заказ; Мебельные фабрики; Детская мебель; Мебель для ванных комнат; Мебель для кухни; Мебель для учебных учреждений; Офисная мебель; Корпусная мебель,"Магистральная улица, 23а ст2",8 офис,662541,,,Лесосибирск,Енисейский муниципальный округ,Красноярский край,Россия,"Вт: 09:00-12:00, 13:00-17:00; Ср: 09:00-12:00, 13:00-17:00; Чт: 09:00-12:00, 13:00-17:00; Пт: 09:00-12:00, 13:00-17:00; Сб: 09:00-12:00, 13:00-17:00",+07:00,,,83914521032,89029738060,,,,,,,,https://vk.com/interer_mebel,https://wa.me/79029738060,,,,,,https://t.me/+79029738060,https://t.me/79029738060,,,58.222297,92.492592,https://2gis.com/firm/70000001044147667,branch
Интерьерные решения,компания,Мебель на заказ; Межкомнатные двери; Входные двери; Корпусная мебель; Мебель для кухни; Напольные покрытия; Жалюзи; Сантехника,"проспект Мира, 13",,662501,8-й м-н,,Сосновоборск,Сосновоборский муниципальный округ,Красноярский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 11:00-17:00,+07:00,1.4,1,89233551383,83912151383 (многоканальный),,,,,,,,,https://wa.me/79233551383,,,,,,,,,,56.112476,93.328871,https://2gis.com/firm/70000001102712584,branch
Каменный век,компания по производству мебели,Мебель на заказ; Мебель для кухни; Корпусная мебель; Торгово-выставочное оборудование,"2-й микрорайон, 16",1 этаж,662161,2-й м-н,,Ачинск,Ачинский муниципальный округ,Красноярский край,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 10:00-17:00; Вс: 10:00-17:00,+07:00,5.0,2,89050888686,83915159886,,,,,,,,https://vk.com/kamennvekach,https://wa.me/79050888686,,,viber://chat/?number=79050888686,,,https://t.me/+79050888686,,,,56.258823,90.484158,https://2gis.com/firm/70000001044869946,branch
КИТ,центр мебели,Мебель на заказ; Корпусная мебель; Мебель для кухни; Детская мебель; Мягкая мебель,"улица Советской Армии, 38/3",2 этаж,662971,,,Железногорск,ЗАТО Железногорск городской округ,Красноярский край,Россия,Пн: 11:00-18:30; Вт: 11:00-18:30; Ср: 11:00-18:30; Чт: 11:00-18:30; Пт: 11:00-18:30; Сб: 11:00-16:00,+07:00,2.7,7,89082234948,83919770948,,,,,,,,https://vk.com/mebel_kit24,,,,,,,,,,,56.254983,93.524122,https://2gis.com/firm/70000001022786310,branch
Кухни&Ко,мебельная лаборатория,Мебель на заказ; Мебель для кухни; Корпусная мебель,"проспект им. газеты Красноярский Рабочий, 27 ст4",1 этаж,660037,,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительному звонку),+07:00,3.5,10,,,,,,,,,,,https://wa.me/79029917726,,,viber://chat/?number=79029917726,,,,,,,56.019262,93.005845,https://2gis.com/firm/985690699693341,branch
КухниДел,,Мебель на заказ; Мебель для кухни; Корпусная мебель,,,,,,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+07:00,,,89332570045,89330230045,,,,,,,,https://vk.com/kuhnidel,,,,,,,,,,,,,https://2gis.com/firm/70000001083907891,branch
ЛегкоСтрой24,,Мебель на заказ; Строительство дач и коттеджей; Садово-парковая мебель; Заборы и ограждения; Электромонтажные работы,"Заводской проезд, 2г",2 офис; 1 этаж,660027,,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,"Пн: 09:00-13:00, 14:00-18:30; Вт: 09:00-13:00, 14:00-18:30; Ср: 09:00-13:00, 14:00-18:30; Чт: 09:00-13:00, 14:00-18:30; Пт: 09:00-13:00, 14:00-18:30; Сб: 09:00-13:00, 14:00-18:30; Вс: 09:00-13:00, 14:00-18:30",+07:00,,,89832820204,,,,,,,,,https://vk.com/legkostroi24,,,,,,,,,,,56.012922,93.009751,https://2gis.com/firm/70000001113902929,branch
Лемар,компания по производству корпусной мебели,Мебель на заказ; Корпусная мебель; Мебель для кухни,"Короткий переулок, 8 ст1",,660060,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-18:30; Вт: 10:00-18:30; Ср: 10:00-18:30; Чт: 10:00-18:30; Пт: 10:00-18:30,+07:00,5.0,11,89233660403,89080263938,,,,,,,,,https://wa.me/79233660403,https://wa.me/79080263938,,viber://chat/?number=79233660403,viber://chat/?number=79080263938,,,,,,56.017972,92.863243,https://2gis.com/firm/70000001067925796,branch
Леон,академия мебели,Мебель на заказ; Детская мебель; Корпусная мебель; Офисная мебель; Мебель для кухни,"Затонская улица, 40",2 этаж,660079,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 11:00-17:00,+07:00,3.4,23,89029911009,89029901014,,,,,,,,,https://wa.me/79029901014,https://wa.me/79029911009,,,,,,,,,55.983332,92.932656,https://2gis.com/firm/985691699704947,branch
Лига мебели,мебельный салон,Мебель на заказ; Мебельные магазины; Мягкая мебель,"проспект им. газеты Красноярский Рабочий, 30а ст17",2 этаж,660004,,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:30-19:30; Вт: 10:30-19:30; Ср: 10:30-19:30; Чт: 10:30-19:30; Пт: 10:30-19:30; Сб: 10:30-19:30; Вс: 10:30-19:30,+07:00,5.0,2,89535911342,,,,,,,,,,https://wa.me/79535852730,,,,,,,,,,56.020118,93.000846,https://2gis.com/firm/70000001024194527,branch
Лига мебели,мебельный салон,Мебель на заказ; Мебельные магазины; Мягкая мебель,"улица Шахтёров, 65",2 этаж; правое крыло,660020,Покровский м-н,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-19:30; Вт: 10:00-19:30; Ср: 10:00-19:30; Чт: 10:00-19:30; Пт: 10:00-19:30; Сб: 10:00-19:30; Вс: 10:00-19:30,+07:00,4.3,60,83912823257,83912852730,,,,,,,,,https://wa.me/79535852730,,,,,,,,,,56.044524,92.889655,https://2gis.com/firm/985690700289225,branch
Красперетяжка24,ателье мебели,Мебель на заказ; Ремонт мебели; Мягкая мебель,"улица 60 лет Октября, 168 ст3",1 этаж,660079,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,,,89631911267,83912711267,,,,,,,,,https://wa.me/79631911267,,,,,,,,,,55.987217,92.924634,https://2gis.com/firm/70000001035482841,branch
Красфинмебель,мебельная компания,Мебель на заказ; Корпусная мебель; Офисная мебель; Распиловка древесины,"2-я Красногорская улица, 21а",17 бокс,660061,,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-14:00,+07:00,4.1,11,89233551002,83912151002,,,,,,,,https://vk.com/krasfinmebel,https://wa.me/79233551002,,,,,,https://t.me/+79233551002,,,,56.048592,92.761653,https://2gis.com/firm/985690700508774,branch
Лион,торгово-производственная фирма,Мебель на заказ; Корпусная мебель; Межкомнатные двери,"улица Ленинского Комсомола, 10",2 этаж,662501,,,Сосновоборск,Сосновоборский муниципальный округ,Красноярский край,Россия,"Пн: 10:00-14:00, 15:00-19:00; Вт: 10:00-14:00, 15:00-19:00; Ср: 10:00-14:00, 15:00-19:00; Чт: 10:00-14:00, 15:00-19:00; Пт: 10:00-14:00, 15:00-19:00; Сб: 10:00-14:00, 15:00-19:00; Вс: 10:00-14:00, 15:00-19:00",+07:00,2.3,6,83913124541,89039596514,,,,,,,,,,,,,,,,,,,56.123398,93.333721,https://2gis.com/firm/985690699654494,branch
Лкм мастер,мебельный цех,Мебель на заказ; Корпусная мебель; Мебель для кухни; Натяжные потолки,"Лесопильщиков улица, 177/1",,660079,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,5.0,10,89135395105,,,,,,,,,,https://wa.me/79135395105,,,,,,,,,,55.975426,92.904385,https://2gis.com/firm/985690699560386,branch
Ловец Снов,магазин по продаже детских кроваток и колясок,Мебель на заказ; Детская мебель; Товары для новорождённых; Домашний текстиль; Товары для беременных и кормящих мам; Плетёные изделия; Детская одежда; Садово-парковая мебель,"Линейная улица, 88",1 этаж,660020,Покровский м-н,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 12:00-20:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00; Вс: 12:00-20:00 (по предварительному звонку),+07:00,4.3,26,89082112800,,,,,http://t.me/lovetssnov_krs,,,,https://vk.com/lovetssnov_krs,https://wa.me/79082112800,,,,,,,,,https://youtube.com/@lovetssnov_krs,56.036187,92.881828,https://2gis.com/firm/70000001070260269,branch
Лофт-М,компания индивидуальной корпусной мебели,Мебель на заказ; Корпусная мебель; Детская мебель; Мебель для кухни; Межкомнатные двери,"улица Академика Вавилова, 1 ст39",1 этаж,660064,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 11:00-19:00; Вс: 11:00-19:00,+07:00,3.9,20,83912855508,,,,,,,,,,https://wa.me/79082231144,,,,,,https://t.me/+79535855508,,,,55.992732,92.910998,https://2gis.com/firm/985690699604369,branch
Лофтвуд,компания,Мебель на заказ; Мягкая мебель; Ремонт мебели; Мебель для ванных комнат; Офисная мебель; Мебель для кухни; Детская мебель; Корпусная мебель,"Томская улица, 4 ст8",2 этаж,660013,,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00,+07:00,5.0,23,89950780778,89950787077,,,,http://t.me/loftvud,,,,,,,,,,,https://t.me/loftvud1,,,,56.013506,93.027711,https://2gis.com/firm/70000001109613486,branch
Мастерская по изготовлению мебели на заказ,,Мебель на заказ; Корпусная мебель; Мягкая мебель; Стеновые панели; Мебель для кухни; Ремонт мебели; Детская мебель; Мебель для ванных комнат; Офисная мебель,"Грунтовая улица, 17/7",,660050,,Кировский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (по предварительному звонку),+07:00,5.0,43,89130355642,89333365290,,,,http://t.me/b127maks,,,,https://vk.com/club168722021,https://wa.me/79130355642,https://wa.me/79333365290,,viber://chat/?number=79130355642,viber://chat/?number=79333365290,,https://t.me/+79130355642,https://t.me/+79333365290,,,55.986462,92.96845,https://2gis.com/firm/70000001090770001,branch
Мастерская по ремонту и изготовлению мебели,,Мебель на заказ; Ремонт мебели,"Электриков улица, 152",,660079,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (по предварительному звонку),+07:00,,,89535934916,,,,,,,,,,,,,,,,https://t.me/+79535934916,,,,55.973093,92.880935,https://2gis.com/firm/70000001103630150,branch
Мастерская Сергея,компания по изготовлению корпусной мебели,Мебель на заказ; Корпусная мебель,"улица Ломоносова, 70/2",,660058,,Железнодорожный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+07:00,5.0,2,89632582829,,,,,,,,,https://vk.com/club237409350,,,,,,,,,,,55.998168,92.82335,https://2gis.com/firm/70000001114260579,branch
Мастерская топ мебели,торгово-производственная компания,Мебель на заказ; Мягкая мебель; Офисная мебель; Ремонт мебели,"улица Телевизорная, 5и",1 этаж,660062,,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+07:00,4.1,7,83912935542,89029570400,,,,,,,,https://vk.com/remontmebel24,https://wa.me/79029570400,,,viber://chat/?number=79029570400,,,,,,,56.026935,92.794216,https://2gis.com/firm/985690699975668,branch
Мастерская уникальной деревянной мебели и аксессуаров,,Мебель на заказ; Корпусная мебель; Художественные мастерские,"Новая улица, 9а",,663020,,,,Емельяновский муниципальный округ,Красноярский край,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+07:00,,,89029228836,,,,,,,,,https://vk.com/malystoler,,,,,,,,,,,56.159833,92.693148,https://2gis.com/firm/70000001105617401,branch
Мебелиссимо,,Мебель на заказ; Корпусная мебель; Детская мебель; Мебель для ванных комнат; Мебель для кухни,"улица Академика Вавилова, 1 ст9",,660064,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-15:00,+07:00,5.0,58,89130397007,,,,,,,,,https://vk.com/kukhni_krasnoyarsk,https://wa.me/79130397007,,,viber://chat/?number=79130397007,,,,,,,55.99343,92.917803,https://2gis.com/firm/70000001056207594,branch
Мебель City,компания,Мебель на заказ; Корпусная мебель,"улица Мусоргского, 10а ст1",1 этаж,660079,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,,,89994483498,,,,,,,,,https://vk.com/citymebelkr,https://wa.me/79994483498,,,,,,,,,,55.982595,92.918287,https://2gis.com/firm/70000001094414570,branch
Мебель Hmz,,"Мебель на заказ; Офисная мебель; Деревообработка; Распиловка древесины; Детская мебель; Мебель для ванных комнат; Корпусная мебель; ЛДСП, ДВПО, МДФ; Мебельные фасады; Мебель для кухни; Ремонт мебели; Погонажные изделия; ДСП, ДВП, фанера; Мягкая мебель; Кровельные работы","улица 2-й квартал, 119",,663020,Отрадное,,,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00 (по предварительному звонку),+07:00,,,89029620110,,,,,,,,,,,,,,,,,,,,56.118866,92.718992,https://2gis.com/firm/70000001105605353,branch
