Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Производственная компания,,Мебель на заказ; Офисная мебель; Корпусная мебель; Мебель для кухни; Мягкая мебель,"Фоминская улица, 40",,614058,,Дзержинский район,Пермь,Пермь городской округ,Пермский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,89519526106,,,,,,,,,,https://wa.me/79519526106,,,viber://chat/?number=79519526106,,,,,,,58.00947,56.103372,https://2gis.com/firm/70000001039904926,branch
Производственная компания,,Мебель на заказ; Мебельные фабрики; Мягкая мебель,"Черногорская улица, 72",,614023,Налимиха ж/м,Кировский район,Пермь,Пермь городской округ,Пермский край,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00,+05:00,5.0,1,89223377770,,,,,,,,,,https://wa.me/79223377770,,,,,,,,,,58.059459,56.038642,https://2gis.com/firm/70000001034026292,branch
Пять Комнат,мебельный салон,Мебель на заказ; Мебель для кухни; Матрасы; Мягкая мебель; Корпусная мебель; Детская мебель,"улица Василия Васильева, 3",1 этаж,614033,Крохалева ж/м,Свердловский район,Пермь,Пермь городской округ,Пермский край,Россия,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00; Сб: 11:00-17:00,+05:00,5.0,13,89667951173,,,,,,,,,https://vk.com/piat_komnat,,,,,,,,,,,57.956883,56.215565,https://2gis.com/firm/70000001063892789,branch
Премьер,мебельный салон,"Мебель на заказ; Мебель для кухни; Мебель для ванных комнат; Офисная мебель; Детская мебель; Корпусная мебель; Матрасы; Торгово-выставочное оборудование; Стеллажи и витрины; Распиловка древесины; ЛДСП, ДВПО, МДФ; Мебельные фасады","улица Ситникова, 40",1 этаж,617470,,,Кунгур,Кунгурский муниципальный округ,Пермский край,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+05:00,,,89519407663,,,,,,,,,https://vk.com/club74407875,,,,,,,,,,,57.427288,56.952985,https://2gis.com/firm/70000001053579061,branch
Снова новое,мастерская реставрации и изготовления мебели,Мебель на заказ; Ремонт мебели; Мягкая мебель; Деревообработка; Мебель для общественного питания,"улица Дружбы, 34к",1 этаж,614070,Городские Горки ж/м,Мотовилихинский район,Пермь,Пермь городской округ,Пермский край,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00 (по предварительному звонку),+05:00,5.0,15,89638797224,,,,,,,,,https://vk.com/snovanovoe,,,,,,,,,,,58.014765,56.277827,https://2gis.com/firm/70000001022091075,branch
Сорренто,мебельный салон-магазин,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель; Детская мебель; Офисная мебель; Мебель для ванных комнат,"1-я Красноармейская улица, 6",4 этаж,614007,Островский ж/м,Свердловский район,Пермь,Пермь городской округ,Пермский край,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-20:00,+05:00,4.9,49,89223044136,89223044953,,,,,,,,https://vk.com/kuhni_sorrento_perm,https://wa.me/79223044136,,,viber://chat/?number=79223044136,,,https://t.me/annaivanushina,,,,58.00189,56.266631,https://2gis.com/firm/2252328095460871,branch
Статус,мастерская,Мебель на заказ; Стекло и зеркала; Корпусная мебель; Офисная мебель; Сварочные работы,"улица Революции, 5",,618703,,,,Добрянский муниципальный округ,Пермский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,89991156718,,,,,,,,,https://vk.com/mebelstatuses,,,,,,,,,,,58.307484,56.419774,https://2gis.com/firm/70000001113882600,branch
Сто диванов и диванчиков,мебельный салон,Мебель на заказ; Мебельные магазины; Мягкая мебель; Корпусная мебель,"улица Архитектора Свиязева, 39",2 этаж,614065,,Индустриальный район,Пермь,Пермь городской округ,Пермский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 11:00-18:00,+05:00,4.5,37,89194860601,89082705193,,,,,,,,https://vk.com/stodivanov59,https://wa.me/79082705193,,,viber://chat/?number=79082705193,,,,,,,57.960973,56.163827,https://2gis.com/firm/2252328094680864,branch
Столярная кухня,,Мебель на заказ; Корпусная мебель,"улица Чкалова, 10",,614064,Свердлова ж/м,Свердловский район,Пермь,Пермь городской округ,Пермский край,Россия,,+05:00,,,89991156883,,,,,,,,,https://vk.com/club236300346,,,,,,,,,,,57.986035,56.264758,https://2gis.com/firm/70000001112410877,branch
Столярная мастерская,,Мебель на заказ; Интерьерные лестницы; Детская мебель; Мебель для кухни; Ремонт мебели; Межкомнатные двери,"Промышленная улица, 8",,614520,,,,Пермский муниципальный округ,Пермский край,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00 (по предварительному звонку),+05:00,4.0,4,89504433877,,,,,,,,,https://vk.com/stolyar.perm,https://wa.me/79504433877,,,viber://chat/?number=79504433877,,,https://t.me/+79504433877,,,,57.887608,55.931923,https://2gis.com/firm/70000001044018040,branch
