Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Шеff-купе,торгово-производственная компания,Мебель на заказ; Мебель для кухни; Детская мебель; Корпусная мебель; Офисная мебель,"Полигонная улица, 8 ст7",1 этаж,660118,,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+07:00,4.8,28,89029404937,89082002232,,,,,,,,https://vk.com/sheff_cupe,https://wa.me/79082002232,,,,,,,,,,56.076206,92.952054,https://2gis.com/firm/985690699789802,branch
Шик,компания по производству кухонь и шкафов на заказ,Мебель на заказ; Корпусная мебель; Мебель для кухни; Дизайн интерьеров; Натяжные потолки,"улица Телевизорная, 5д",4-14 офис,660062,,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительной записи),+07:00,4.9,43,89069724726,,,124nickwood@gmail.com,,,,,,https://vk.com/shik_kuhni,https://wa.me/79069724726,,,,,,https://t.me/+79069724726,,,,56.027658,92.794757,https://2gis.com/firm/70000001056709600,branch
Ателье мягкой мебели,,Мебель на заказ; Мягкая мебель; Ремонт мебели,"Тепличная улица, 9",1 этаж,633227,,,,Искитимский район,Новосибирская область,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+07:00,5.0,1,89658242306,,,,,,,,,https://vk.com/kvnmebel,https://wa.me/79658242306,,,,,,https://t.me/kvnmebel,,,,54.654856,83.268862,https://2gis.com/firm/70000001051835839,branch
Бутик сна Ксении Светлой,"магазин матрасов, кроватей и товаров для сна",Мебель на заказ; Матрасы; Мягкая мебель; Домашний текстиль,"Ядринцевская улица, 71",9 офис; 2 этаж,630099,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00 (по предварительному звонку),+07:00,5.0,40,89137978236,,,,,,,,,https://vk.com/sleepbysvetlaya,https://wa.me/79137978236,,,,,,https://t.me/sleepbysvetlaya,,,,55.03476,82.934959,https://2gis.com/firm/70000001047782329,branch
Галатея,производственный цех,Мебель на заказ; Мебель для кухни; Корпусная мебель; Распиловка древесины; Стекло и зеркала,"Варшавская улица, 5 к3",1 этаж,630056,ОбьГЭС м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+07:00,4.7,43,83833730123,83833639571,83833639572,,,,,,,https://vk.com/clever_groups,,,,,,,,,,,54.854052,82.960067,https://2gis.com/firm/141265769856306,branch
Галатея,фабрика мебели,Мебель на заказ; Корпусная мебель; Мебель для кухни,"площадь Карла Маркса, 6/1",3 этаж,630048,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,4.2,46,89538705151,,,,,,,,,https://vk.com/clever_groups,https://wa.me/79538705151,,,,,,,,,,54.980957,82.894647,https://2gis.com/firm/70000001006163061,branch
Дизайн Мебель,мебельная компания,Мебель на заказ; Корпусная мебель; Детская мебель; Мебель для кухни,"Промышленный переулок, 2а",2 этаж,633011,,,Бердск,Бердск городской округ,Новосибирская область,Россия,"Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-18:00; Вс: 10:00-18:00 (по предварительной записи: сб, вс)",+07:00,4.0,8,89130078360,,,,,,,,,https://vk.com/clubdizainmebelberdsk,https://wa.me/79130078360,,,,,,,,,,54.766485,83.095637,https://2gis.com/firm/70000001031954055,branch
Жако,мебельный салон,Мебель на заказ; Мебельные магазины; Мягкая мебель; Корпусная мебель; Мебель для кухни; Офисная мебель,"Вознесенская улица, 1",2 этаж,630559,3-й м-н,,,рп. Кольцово городской округ,Новосибирская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00 (по предварительной записи),+07:00,4.5,65,89537758895,89137657221,,,,,,,,https://vk.com/jakomebel,https://wa.me/79537758895,,,,,,,,,,54.937209,83.190512,https://2gis.com/firm/141265771001041,branch
Манго Мебель Нск,,Мебель на заказ; Корпусная мебель; Мебель для кухни,"проспект Дзержинского, 1/4",4 этаж,630015,,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00,+07:00,4.3,7,89134648894,89132042610,89139244245,,,,,,,,https://wa.me/79132042610,https://wa.me/79134648894,https://wa.me/79139244245,,,,,,,,55.048862,82.959767,https://2gis.com/firm/70000001046995184,branch
Мануфактура мебели,компания по изготовлению мебели,Мебель на заказ; Мебельные магазины; Мебель для кухни; Детская мебель; Матрасы,"Красный проспект, 167/3",1 этаж,630049,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,"Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00; Вс: 10:00-17:00 (по предварительной записи: сб, вс)",+07:00,,,89134541716,89538049417,,,,,,,,,https://wa.me/79134541716,,,,,,,,,,55.063025,82.90523,https://2gis.com/firm/70000001055129667,branch
