Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Мэри-М,мебельная фабрика,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель,"улица Дзержинского, 110/1",3 секция; 1 этаж,454078,,Ленинский район,Челябинск,Челябинский городской округ,Челябинская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,5.0,1,89080673386 (единый номер),,,,,,,,,https://vk.com/meri1998mebel,,,,,,,,,,,55.133586,61.433221,https://2gis.com/firm/70000001032428271,branch
Мягкие линии,салон мебели на заказ,Мебель на заказ; Детская мебель; Мягкая мебель; Мебель для кухни; Корпусная мебель,"Сормовская улица, 7",,454074,Верхний Плановый квартал,Калининский район,Челябинск,Челябинский городской округ,Челябинская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00; Вс: 09:00-17:00,+05:00,,,89634685353,89088115151,,,,,,,,https://vk.com/myagkie_linii,https://wa.me/79088115151,,,,,,,,,,55.194805,61.448968,https://2gis.com/firm/70000001103961866,branch
Мягкий Бриз,магазин мягкой мебели,Мебель на заказ; Мебельные магазины; Мягкая мебель; Офисная мебель,"улица Дзержинского, 110/1","1, 3 этаж",454078,,Ленинский район,Челябинск,Челябинский городской округ,Челябинская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,4.8,20,89507470739,,,,,,,,,https://vk.com/breeze_brand,https://wa.me/79507357266,,,viber://chat/?number=79507470739,,,,,,,55.133586,61.433221,https://2gis.com/firm/70000001077147975,branch
Н-мебель,салон мебели,Мебель на заказ; Офисная мебель; Корпусная мебель; Мебель для кухни; Мебель для ванных комнат; Детская мебель,"набережная Героя России Кислова С.А., 23",,454080,Манхэттен жилой комплекс,Центральный район,Челябинск,Челябинский городской округ,Челябинская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00 (по предварительной записи),+05:00,,,89222314638 (офис),89080579991 (руководитель),,,,http://n-mebel.pro/?utm_source=2gis,,,,,https://wa.me/79222314638,,,,,,https://t.me/+79222314638,https://t.me/nmebelpro,,,55.173128,61.363162,https://2gis.com/firm/70000001101735730,branch
Н-мебель,салон мебели,Мебель на заказ; Офисная мебель; Корпусная мебель; Мебель для кухни; Мебель для ванных комнат; Дизайн интерьеров; Детская мебель,"улица Энгельса, 4",11 офис; 2 этаж,454080,,Центральный район,Челябинск,Челябинский городской округ,Челябинская область,Россия,"Пн: 10:00-12:00, 13:00-20:00; Вт: 10:00-12:00, 13:00-20:00; Ср: 10:00-12:00, 13:00-20:00; Чт: 10:00-12:00, 13:00-20:00; Пт: 10:00-12:00, 13:00-20:00; Сб: 10:00-12:00, 13:00-20:00; Вс: 10:00-12:00, 13:00-20:00 (по предварительной записи)",+05:00,4.5,15,89222314638 (офис),89080579991 (руководитель),,,,http://n-mebel.pro/?utm_source=2gis,,,,,https://wa.me/79222314638,,,,,,https://t.me/+79222314638,https://t.me/nmebelpro,,,55.170906,61.379677,https://2gis.com/firm/2111590608510455,branch
Народная мебель,торгово-производственная компания,Мебель на заказ; Корпусная мебель,"улица Худякова, 12",123 секция; 3 этаж; правое крыло,454048,,Центральный район,Челябинск,Челябинский городской округ,Челябинская область,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00,+05:00,3.0,2,89517855692,,,,,,,,,https://vk.com/nar.okna.mebel,https://wa.me/79517855692,,,viber://chat/?number=79517855692,,,,,,,55.148142,61.373039,https://2gis.com/firm/2111590606317582,branch
Нельсон,салон мебели,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мягкая мебель; Мебель для кухни; Детская мебель; Матрасы; Офисная мебель,"улица Дзержинского, 104в",1 секция,454078,,Ленинский район,Челябинск,Челябинский городской округ,Челябинская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,3.1,4,89514443436,,,,,,,,,https://vk.com/nelson.mebel,https://wa.me/79514443436,,,viber://chat/?number=79514443436,,,https://t.me/+79514443436,,,,55.132456,61.433317,https://2gis.com/firm/70000001041277088,branch
Николь,торгово-производственная фирма,Мебель на заказ; Корпусная мебель; Офисная мебель; Мебель для ванных комнат; Мебель для кухни,"Копейское шоссе, 38",6 офис; 1 этаж,454119,,Ленинский район,Челябинск,Челябинский городской округ,Челябинская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.5,8,83517760403,,,,,,,,,https://vk.com/nikol_74,https://wa.me/79518114002,,,viber://chat/?number=79518114002,,,,,,,55.128704,61.482135,https://2gis.com/firm/2111590608764034,branch
Новастиль,фабрика мебели,Мебель на заказ; Офисная мебель; Корпусная мебель; Мебель для кухни; Детская мебель; Мебель для учебных учреждений,"улица Разина, 3",307/1 офис; 3 этаж,454048,,Советский район,Челябинск,Челябинский городской округ,Челябинская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,3.1,2,83512489009,89043048179,83517771576,,,,,,,https://vk.com/club80463062,https://wa.me/79043048179,,,,,,,,,,55.136344,61.409138,https://2gis.com/firm/70000001051922374,branch
Нэндо,производственный цех,Мебель на заказ; Мебельные фабрики; Мягкая мебель; Корпусная мебель; Детская мебель; Офисная мебель; Мебель для кухни,"Трактовая улица, 26Б",,454028,АМЗ пос.,Советский район,Челябинск,Челябинский городской округ,Челябинская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,1,89000745774,,,,,http://t.me/mf_nendo,,,,https://vk.com/mebelnendo,https://wa.me/79000745774,,,viber://chat/?number=79000745774,,,,,,,55.109922,61.33686,https://2gis.com/firm/70000001069359691,branch
