Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Artwel,производственная компания,Мебель на заказ; Металлоизделия; Мебель для общественного питания; Металлическая мебель,"улица Коммунаров, 268 лит А",73 офис; 3 этаж,350020,,Центральный округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,,,89388888581,,,,,,,,,,https://wa.me/79388888581,,,,,,,,,,45.048243,38.982992,https://2gis.com/firm/70000001042622999,branch
Helen Mid,,Мебель на заказ; Дизайн интерьеров; Мебель для кухни; Корпусная мебель; Мягкая мебель; Мебель для ванных комнат; Ремонт помещений; Детская мебель,"улица Куникова, 47а к2",,353920,,Центральный район,Новороссийск,Новороссийск городской округ,Краснодарский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+03:00,,,89181461809,,,,,http://t.me/helen_mid_novorossiysk,,,,,https://wa.me/79181461809,,,,,,,,,,44.692426,37.770093,https://2gis.com/firm/70000001089882383,branch
Infinity,студия по изготовлению мебели,Мебель на заказ; Корпусная мебель; Мебель для кухни; Изделия из камня для помещений,"Южная улица, 1",1 этаж,353925,,Южный район,Новороссийск,Новороссийск городской округ,Краснодарский край,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-17:00 (по предварительному звонку: пн-сб),+03:00,,,89184207021,,,,,,,,,https://vk.com/public75462479,https://wa.me/79184207021,,,,,,,,,,44.676165,37.778929,https://2gis.com/firm/10415102419314208,branch
Kitchen design,мебельный салон,Мебель на заказ; Мебель для кухни; Корпусная мебель; Изделия из камня для помещений,"Одесская улица, 22 к2",цокольный этаж,353465,,,Геленджик,Геленджик городской округ,Краснодарский край,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 10:00-18:00,+03:00,5.0,92,89280377527,89288431118,,,,,,,,,https://wa.me/79280377527,https://wa.me/79288431118,,,,,https://t.me/+79280377527,,,,44.588499,38.060143,https://2gis.com/firm/70000001064914574,branch
Kuh room,,Мебель на заказ; Мебель для кухни; Корпусная мебель,"улица Ленина, 180а к9",1 этаж; мебельный салон Amaranth,353454,,,Анапа,Анапа муниципальный округ,Краснодарский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,5.0,1,89384808886,,,,,,,,,,https://wa.me/79384808886,,,,,,,,,,44.869302,37.331396,https://2gis.com/firm/70000001054968711,branch
Legiomebel,,Мебель на заказ; Корпусная мебель; Мебель для кухни,"улица Карла Маркса, 238/3",,353508,,,Темрюк,Темрюкский район,Краснодарский край,Россия,,+03:00,,,89184687076,,,,,,,,,,,,,,,,,,,,45.261684,37.426252,https://2gis.com/firm/70000001057241741,branch
leoN,салон мебели,Мебель на заказ; Офисная мебель; Мебель для кухни; Корпусная мебель; Сборка мебели; Мебельная фурнитура; Детская мебель; Мебель для ванных комнат; Стеллажи и витрины,"Луговая улица, 1",,353983,,Новороссийский район,,Новороссийск городской округ,Краснодарский край,Россия,Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00,+03:00,5.0,5,89189950079,,,,,,,,,https://vk.com/leonvrsk,https://wa.me/79189950079,,,,,,https://t.me/leoneed,,,,44.838155,37.573449,https://2gis.com/firm/70000001034683720,branch
Levard,мебельный салон,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель; Мягкая мебель,"улица Ленина, 244",2 этаж,353960,Цемдолина,Приморский район,Новороссийск,Новороссийск городской округ,Краснодарский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+03:00,5.0,1,89184734351,,,,,,,,,,,,,,,,,,,,44.76762,37.705032,https://2gis.com/firm/70000001038495555,branch
Lime,студия мебели,Мебель на заказ; Мебельные фабрики; Корпусная мебель; Мебель для кухни,"Анапское шоссе, 20",2 этаж,353445,,,Анапа,Анапа муниципальный округ,Краснодарский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,4.3,6,89886238046,,,,,,,,,https://vk.com/mebelanapa23,https://wa.me/79886238046,,,,,,,,,,44.898708,37.352081,https://2gis.com/firm/70000001034631663,branch
M&k,салон кухонь,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель,"улица Свердлова, 44а",1 этаж,353475,,,Геленджик,Геленджик городской округ,Краснодарский край,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00,+03:00,1.0,1,89284257000,,,,,,,,,,https://wa.me/79284257000,,,,,,https://t.me/+79284257000,,,,44.549352,38.090452,https://2gis.com/firm/70000001021076761,branch
