Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Текстура,семейная студия мебели и интерьерных решений,Мебель на заказ; Корпусная мебель; Дизайн интерьеров; Офисная мебель; Мебель для кухни; Детская мебель; Мебель для ванных комнат; Торгово-выставочное оборудование,"Мраморская улица, 6",1 этаж,620076,Уктус м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,4.9,37,89923303208,89292120201,,tekstyra.ekb@yandex.ru,,,,,,https://vk.com/tekstyraekb,https://wa.me/79292120201,https://wa.me/79923303208,,,,,https://t.me/+79923303208,,,,56.784649,60.645832,https://2gis.com/firm/70000001064278509,branch
Торгово-производственная компания,,Мебель на заказ; Деревообработка; Корпусная мебель; Межкомнатные двери; Интерьерные лестницы; Окна,"проспект Космонавтов, 270",,620052,Эльмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-17:00",+05:00,,,89193931111,,,,,,,,,,,,,,,,,,,,56.942368,60.629423,https://2gis.com/firm/70000001007538045,branch
Формат Pro,,Мебель на заказ; Корпусная мебель,"улица Пушкина, 1а",,624006,,,,Сысертский муниципальный округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,,,89920245545,,,,,,,,,,,,,,,,,,,,56.726169,60.748875,https://2gis.com/firm/70000001115021479,branch
Формат Pro,,Мебель на заказ; Корпусная мебель,"улица Чапаева, 6",,624003,,,Арамиль,Арамильский городской округ,Свердловская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00,+05:00,,,89920245545,,,,,,,,,,,,,,,,https://t.me/+79920245545,,,,56.697095,60.834532,https://2gis.com/firm/70000001115021206,branch
Уютный двор,студия корпусной и мягкой мебели,Мебель на заказ; Мягкая мебель; Мебель для кухни; Матрасы; Офисная мебель,"улица Ленина, 117",,624019,,,,Сысертский муниципальный округ,Свердловская область,Россия,Пн: 10:30-18:30; Вт: 10:30-18:30; Ср: 10:30-18:30; Чт: 10:30-18:30; Пт: 11:00-17:00; Сб: 11:00-16:00,+05:00,,,89505526359,,,,,,,,,,https://wa.me/79505526359,,,,,,,,,,56.673965,60.9825,https://2gis.com/firm/70000001061549909,branch
Уютный дом,мастерская кухонной мебели на заказ,Мебель на заказ; Мебель для кухни,,,,,,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,,,89826763807,,,,,,,,,,,,,,,,,,,,,,https://2gis.com/firm/70000001113802546,branch
Фортуна,магазин,Мебель на заказ; Мебель для кухни; Бытовая техника; Корпусная мебель,"улица Белинского, 210а",1 этаж,620130,Автовокзал м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.4,29,89226192003,89221256213,,,,http://fortunakuhni.2gis.biz,,,,https://vk.com/ekf96,https://wa.me/79221256213,https://wa.me/79226192003,,,,,https://t.me/+79221256213,,,https://youtube.com/@user-lo5fn3uf3w,56.803386,60.627075,https://2gis.com/firm/70000001064560380,branch
Чёрный кролик,компания по изготовлению мебели под заказ,Мебель на заказ; Корпусная мебель; Мягкая мебель; Мебель для кухни,"Золотистый бульвар, 7",1 этаж,620103,Солнечный м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи),+05:00,,,89920004760,,,,,,,,,,,,,,,,,,,,56.744766,60.564517,https://2gis.com/firm/70000001100335440,branch
Экоинтерьер,фабрика креативного дизайна,Мебель на заказ; Офисная мебель; Мягкая мебель; Корпусная мебель; Мебель для общественного питания; Межкомнатные двери,"Монтёрская улица, 3лит50",13 офис; 1 этаж,620085,Вторчермет м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,5.0,4,89961809630,,,,,,,,,,,,,,,,,,,,56.78456,60.608077,https://2gis.com/firm/70000001113068751,branch
Экоинтерьер,фабрика креативного дизайна,Мебель на заказ; Офисная мебель; Мягкая мебель; Корпусная мебель; Мебель для общественного питания; Межкомнатные двери,"улица Черняховского, 60",,620010,Химмаш м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,3.7,3,89826560293,,,ecointer-doker@mail.ru,,,,,,,https://wa.me/79826560293,,,,,,,,,,56.752514,60.718952,https://2gis.com/firm/70000001018951631,branch
ЭкоМебель,торговая компания,Мебель на заказ; Мягкая мебель; Корпусная мебель; Мебель для кухни; Матрасы,"1 Мая улица, 7",1 этаж,624000,,,Арамиль,Арамильский городской округ,Свердловская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-17:00,+05:00,3.0,2,89638501888,89068118922,,,,,,,,,https://wa.me/79638501888,https://wa.me/79068118922,,,,,,,,,56.6983,60.832466,https://2gis.com/firm/1267165676626400,branch
Den Dom,,Мебель на заказ; Мебель для кухни; Мягкая мебель; Корпусная мебель; Матрасы; Мебельные магазины,"Автомобильная улица, 3",2 этаж,350072,им. Петра Метальникова м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,1.0,3,89673038542,,,,,,,,,,https://wa.me/79673038542,,,,,,,,,,45.093607,38.992608,https://2gis.com/firm/70000001104768649,branch
Konsanto,торгово-производственная компания,Мебель на заказ; Межкомнатные двери; Корпусная мебель; Стеллажи и витрины; Мебельные фасады; Интерьерные лестницы,"улица Бжигакова, 18",,385228,,,,Теучежский район,Республика Адыгея,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+03:00,5.0,1,89183627497,89528727091,,,,,,,,,https://wa.me/79528727091,,,,,,,,,,44.976597,39.086953,https://2gis.com/firm/3237490513654203,branch
Stile Mebel,производственная компания,Мебель на заказ; Корпусная мебель; Мебель из стекла; Мебель для ванных комнат,"Круговая улица, 22",,350047,,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00 (по предварительному звонку),+03:00,,,89282630771,,,,,,,,,,https://wa.me/79282630771,,,,,,https://t.me/+79282630771,,,,45.071005,38.925536,https://2gis.com/firm/3237490513655280,branch
Style Coupe,,Мебель на заказ; Корпусная мебель,,,350065,Гидростроителей м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00 (по предварительному звонку),+03:00,,,89180800503,,,,,,,,,https://vk.com/style__coupe,,,,,,,,,,,45.002473,39.068187,https://2gis.com/firm/70000001076823084,branch
Style manner,,Мебель на заказ; Мягкая мебель; Детская мебель,"Сормовская улица, 12/12",,350018,КСК м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+03:00,,,89184550060,,,,,,,,,,,,,,,,https://t.me/+79184550060,,,,45.022782,39.063891,https://2gis.com/firm/70000001105688968,branch
Анна,салон мебели,Мебель на заказ; Мебельные магазины; Мягкая мебель; Корпусная мебель; Матрасы; Детская мебель; Мебель для кухни,"Тургеневское шоссе, 11/1",1 этаж,385121,,,,Тахтамукайский район,Республика Адыгея,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+03:00,1.8,16,89183515797,,,,,,,,,,https://wa.me/79183515797,,,,,,https://t.me/+79183515797,,,,45.026168,38.944056,https://2gis.com/firm/3237490513496006,branch
Антара,мебельная компания,Мебель на заказ; Мягкая мебель; Детская мебель,"Тихорецкая улица, 12/1",,350059,Восточная промышленная зона м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00 (по предварительному звонку),+03:00,1.0,2,89180283437,,,,,,,,,,https://wa.me/79180283437,,,,,,,,,,45.038419,39.044847,https://2gis.com/firm/70000001089409550,branch
Армада,салон мебели,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мягкая мебель,"Длинная улица, 119а",,353230,,,,Северский район,Краснодарский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-17:00,+03:00,,,89898248333,,,,,,,,,https://vk.com/salonarmada,https://wa.me/79898248333,,,,,,https://t.me/+79898248333,https://t.me/79898248333,,,44.845051,38.572494,https://2gis.com/firm/70000001104588510,branch
