Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Odeg_off,мебельная мастерская,Мебель на заказ; Ремонт мебели; Мягкая мебель,"улица 60 лет Октября, 134",1 этаж,660079,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-19:30; Вт: 09:00-19:30; Ср: 09:00-19:30; Чт: 09:00-19:30; Пт: 09:00-19:30; Сб: 09:00-19:30; Вс: 09:00-19:30 (по предварительному звонку),+07:00,5.0,40,89233719676,,,,,,,,,,https://wa.me/79233719676,,,,,,https://t.me/+79233719676,,,,55.984976,92.911334,https://2gis.com/firm/70000001104014636,branch
Okwood,мебельная компания,Мебель на заказ; Корпусная мебель; Мебель для кухни; Детская мебель,"Грунтовая улица, 17а",2 бокс; 1 этаж,660050,,Кировский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-15:00,+07:00,,,89048909090,83912329090,,,,,,,,,https://wa.me/79048909090,,,,,,,,,,55.985261,92.969947,https://2gis.com/firm/70000001060112860,branch
Persona,мебельная студия,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель; Бытовая техника; Изделия из камня для помещений; Мебельные фасады; Дизайн интерьеров; Мебель для ванных комнат,"улица Ленина, 30",,662971,Город м-н,,Железногорск,ЗАТО Железногорск городской округ,Красноярский край,Россия,"Пн: 10:30-14:00, 15:00-19:00; Вт: 10:30-14:00, 15:00-19:00; Ср: 10:30-14:00, 15:00-19:00; Чт: 10:30-14:00, 15:00-19:00; Пт: 10:30-14:00, 15:00-19:00; Сб: 11:00-15:00",+07:00,4.8,9,83919770702,89082234702,,,,,,,,https://vk.com/personastudio26,,,,,,,https://t.me/+79082234702,,,,56.252453,93.531742,https://2gis.com/firm/985690700157024,branch
Poliстиль,мебельная компания,Мебель на заказ; Офисная мебель; Изделия из камня для помещений; Корпусная мебель; Детская мебель; Мебель для кухни; Торгово-выставочное оборудование,"Тамбовская улица, 5 ст18",1 этаж,660013,,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,,,89658977573,,,,,,,,,,https://wa.me/79658977573,,,,,,,,,,56.01329,93.041192,https://2gis.com/firm/70000001042977675,branch
Profiмастер,салон,Мебель на заказ; Ремонт мебели; Офисная мебель; Мягкая мебель,"улица Мостовиков, 2ж",,660019,Торгашино,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 10:00-17:00; Вс: 10:00-17:00,+07:00,5.0,1,83912970538,89029270538,,,,,,,,,https://wa.me/79029270538,,,viber://chat/?number=79029270538,,,,,,,55.972958,92.923641,https://2gis.com/firm/70000001028394541,branch
Re: Mebel,мебельная мастерская,Мебель на заказ; Мягкая мебель; Ремонт мебели,"улица Говорова, 53",1 этаж,660013,Черёмушки м-н,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительному звонку),+07:00,4.8,20,89029752044,89620752659,83912544254,,,,,,,https://vk.com/remebelkrsk,https://wa.me/79029752044,,,viber://chat/?number=79029752044,,,,,,,55.997666,93.027036,https://2gis.com/firm/70000001022970868,branch
Rokko,столярная мастерская,Мебель на заказ; Садово-парковая мебель; Мебель для кухни,"улица Цементников, 59а",,660019,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+07:00,5.0,4,89333339538,89832024192,,,,,,,,https://vk.com/hello_rokko,https://wa.me/79333339538,,,,,,https://t.me/+79333339538,,,,55.969575,92.910601,https://2gis.com/firm/70000001065097351,branch
Rolen,сеть мебельных салонов,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель,"улица Авиаторов, 38",2 этаж; правое крыло,660098,Иннокентьевский м-н,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00 (по предварительной записи: сб),+07:00,4.8,244,83912787373,89676087373,,rolen77@list.ru,,http://t.me/+GpTuVsfKPRhmZGMy,http://t.me/rolen_mebel,,,https://vk.com/rolenmebel,https://wa.me/79676087373,,,,,,https://t.me/rolen_mebel,,,,56.048203,92.915951,https://2gis.com/firm/70000001007160690,branch
Rolen,сеть мебельных салонов,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель,"улица Шахтёров, 65",2 этаж; правое крыло,660020,Покровский м-н,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,"Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: сб, вс)",+07:00,4.5,390,83912784984,89676084984,,rolen77@list.ru,,http://t.me/+GpTuVsfKPRhmZGMy,http://t.me/rolen_mebel,,,https://vk.com/rolenmebel,https://wa.me/79676084984,,,,,,https://t.me/rolen_mebel,,,,56.044719,92.889841,https://2gis.com/firm/985690699705884,branch
Rolen,сеть мебельных салонов,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель,"улица Шумяцкого, 4",,660118,Северный м-н,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00 (по предварительной записи: сб),+07:00,4.6,332,83912776260,89504195680,,rolen77@list.ru,,http://t.me/+GpTuVsfKPRhmZGMy,http://t.me/rolen_mebel,,,https://vk.com/rolenmebel,https://wa.me/79504195680,,,,,,https://t.me/rolen_mebel,,,,56.067537,92.937141,https://2gis.com/firm/985690699577300,branch
